PERMNO,date,TICKER,PRC,RETX
10107,01/03/2012,MSFT,26.76500,0.031009
10107,01/04/2012,MSFT,27.40000,0.023725
10107,01/05/2012,MSFT,27.68000,0.010219
10107,01/06/2012,MSFT,28.10500,0.015354
10107,01/09/2012,MSFT,27.74000,-0.012987
10107,01/10/2012,MSFT,27.84000,0.003605
10107,01/11/2012,MSFT,27.72000,-0.004310
10107,01/12/2012,MSFT,28.00000,0.010101
10107,01/13/2012,MSFT,28.25000,0.008929
10107,01/17/2012,MSFT,28.25500,0.000177
10107,01/18/2012,MSFT,28.23000,-0.000885
10107,01/19/2012,MSFT,28.12000,-0.003897
10107,01/20/2012,MSFT,29.71000,0.056543
10107,01/23/2012,MSFT,29.73000,0.000673
10107,01/24/2012,MSFT,29.34000,-0.013118
10107,01/25/2012,MSFT,29.56000,0.007498
10107,01/26/2012,MSFT,29.50000,-0.002030
10107,01/27/2012,MSFT,29.23000,-0.009153
10107,01/30/2012,MSFT,29.61000,0.013000
10107,01/31/2012,MSFT,29.53000,-0.002702
10107,02/01/2012,MSFT,29.89000,0.012191
10107,02/02/2012,MSFT,29.95000,0.002007
10107,02/03/2012,MSFT,30.24000,0.009683
10107,02/06/2012,MSFT,30.20000,-0.001323
10107,02/07/2012,MSFT,30.35000,0.004967
10107,02/08/2012,MSFT,30.66000,0.010214
10107,02/09/2012,MSFT,30.77000,0.003588
10107,02/10/2012,MSFT,30.49500,-0.008937
10107,02/13/2012,MSFT,30.58000,0.002787
10107,02/14/2012,MSFT,30.25000,-0.010791
10107,02/15/2012,MSFT,30.05000,-0.006612
10107,02/16/2012,MSFT,31.28500,0.041098
10107,02/17/2012,MSFT,31.25000,-0.001119
10107,02/21/2012,MSFT,31.44000,0.006080
10107,02/22/2012,MSFT,31.27000,-0.005407
10107,02/23/2012,MSFT,31.37000,0.003198
10107,02/24/2012,MSFT,31.48000,0.003506
10107,02/27/2012,MSFT,31.35000,-0.004130
10107,02/28/2012,MSFT,31.87000,0.016587
10107,02/29/2012,MSFT,31.74000,-0.004079
10107,03/01/2012,MSFT,32.29000,0.017328
10107,03/02/2012,MSFT,32.07500,-0.006658
10107,03/05/2012,MSFT,31.80000,-0.008574
10107,03/06/2012,MSFT,31.55500,-0.007704
10107,03/07/2012,MSFT,31.84000,0.009032
10107,03/08/2012,MSFT,32.01000,0.005339
10107,03/09/2012,MSFT,31.99000,-0.000625
10107,03/12/2012,MSFT,32.04000,0.001563
10107,03/13/2012,MSFT,32.67000,0.019663
10107,03/14/2012,MSFT,32.77000,0.003061
10107,03/15/2012,MSFT,32.85000,0.002441
10107,03/16/2012,MSFT,32.60000,-0.007610
10107,03/19/2012,MSFT,32.20000,-0.012270
10107,03/20/2012,MSFT,31.99000,-0.006522
10107,03/21/2012,MSFT,31.91000,-0.002501
10107,03/22/2012,MSFT,31.99500,0.002664
10107,03/23/2012,MSFT,32.01000,0.000469
10107,03/26/2012,MSFT,32.59000,0.018119
10107,03/27/2012,MSFT,32.52000,-0.002148
10107,03/28/2012,MSFT,32.19000,-0.010148
10107,03/29/2012,MSFT,32.12000,-0.002175
10107,03/30/2012,MSFT,32.25500,0.004203
10107,04/02/2012,MSFT,32.29000,0.001085
10107,04/03/2012,MSFT,31.94000,-0.010839
10107,04/04/2012,MSFT,31.21000,-0.022855
10107,04/05/2012,MSFT,31.52000,0.009933
10107,04/09/2012,MSFT,31.10000,-0.013325
10107,04/10/2012,MSFT,30.47000,-0.020257
10107,04/11/2012,MSFT,30.34500,-0.004102
10107,04/12/2012,MSFT,30.97500,0.020761
10107,04/13/2012,MSFT,30.81000,-0.005327
