secid,date,days,volatility,index_flag
143439,26/07/2018,730,0.377215,0
143439,26/07/2018,1825,0.436041,0
143439,27/07/2018,10,0.362843,0
143439,27/07/2018,14,0.422334,0
143439,27/07/2018,30,0.419706,0
143439,27/07/2018,60,0.487622,0
143439,27/07/2018,91,0.453115,0
143439,27/07/2018,122,0.499155,0
143439,27/07/2018,152,0.48984,0
143439,27/07/2018,182,0.485583,0
143439,27/07/2018,273,0.441998,0
143439,27/07/2018,365,0.415998,0
143439,27/07/2018,547,0.40338,0
143439,27/07/2018,730,0.377875,0
143439,27/07/2018,1825,0.436103,0
143439,30/07/2018,10,0.419507,0
143439,30/07/2018,14,0.417233,0
143439,30/07/2018,30,0.423818,0
143439,30/07/2018,60,0.493301,0
143439,30/07/2018,91,0.455658,0
143439,30/07/2018,122,0.481,0
143439,30/07/2018,152,0.493276,0
143439,30/07/2018,182,0.485759,0
143439,30/07/2018,273,0.442831,0
143439,30/07/2018,365,0.416649,0
143439,30/07/2018,547,0.403866,0
143439,30/07/2018,730,0.37839,0
143439,30/07/2018,1825,0.436047,0
143439,31/07/2018,10,0.452033,0
143439,31/07/2018,14,0.380943,0
143439,31/07/2018,30,0.430955,0
143439,31/07/2018,60,0.49411,0
143439,31/07/2018,91,0.457106,0
143439,31/07/2018,122,0.480231,0
143439,31/07/2018,152,0.492297,0
143439,31/07/2018,182,0.487252,0
143439,31/07/2018,273,0.44205,0
143439,31/07/2018,365,0.416105,0
143439,31/07/2018,547,0.404378,0
143439,31/07/2018,730,0.378484,0
143439,31/07/2018,1825,0.43619,0
143439,1/8/18,10,0.428298,0
143439,1/8/18,14,0.386465,0
143439,1/8/18,30,0.429807,0
143439,1/8/18,60,0.48849,0
143439,1/8/18,91,0.457395,0
143439,1/8/18,122,0.477578,0
143439,1/8/18,152,0.49209,0
143439,1/8/18,182,0.486124,0
143439,1/8/18,273,0.440658,0
143439,1/8/18,365,0.41604,0
143439,1/8/18,547,0.404421,0
143439,1/8/18,730,0.378238,0
143439,1/8/18,1825,0.436138,0
143439,2/8/18,10,0.932625,0
143439,2/8/18,14,0.877429,0
143439,2/8/18,30,0.629468,0
143439,2/8/18,60,0.602992,0
143439,2/8/18,91,0.533612,0
143439,2/8/18,122,0.532422,0
143439,2/8/18,152,0.54231,0
143439,2/8/18,182,0.530765,0
143439,2/8/18,273,0.466717,0
143439,2/8/18,365,0.441928,0
143439,2/8/18,547,0.422351,0
143439,2/8/18,730,0.392624,0
143439,2/8/18,1825,0.44106,0
143439,3/8/18,10,0.914568,0
143439,3/8/18,14,0.865334,0
143439,3/8/18,30,0.615141,0
143439,3/8/18,60,0.602491,0
143439,3/8/18,91,0.530274,0
143439,3/8/18,122,0.524247,0
143439,3/8/18,152,0.539787,0
143439,3/8/18,182,0.530313,0
143439,3/8/18,273,0.466058,0
143439,3/8/18,365,0.437433,0
143439,3/8/18,547,0.422314,0
143439,3/8/18,730,0.392607,0
143439,3/8/18,1825,0.440889,0
143439,6/8/18,10,1.02746,0
143439,6/8/18,14,0.846246,0
143439,6/8/18,30,0.634127,0
143439,6/8/18,60,0.573115,0
143439,6/8/18,91,0.52909,0
143439,6/8/18,122,0.505742,0
143439,6/8/18,152,0.544734,0
143439,6/8/18,182,0.529041,0
143439,6/8/18,273,0.466366,0
143439,6/8/18,365,0.436899,0
143439,6/8/18,547,0.422589,0
143439,6/8/18,730,0.392951,0
143439,6/8/18,1825,0.439982,0
143439,7/8/18,10,1.055961,0
143439,7/8/18,14,0.940328,0
143439,7/8/18,30,0.704393,0
143439,7/8/18,60,0.626791,0
143439,7/8/18,91,0.56716,0
143439,7/8/18,122,0.532899,0
143439,7/8/18,152,0.567799,0
143439,7/8/18,182,0.549121,0
143439,7/8/18,273,0.481497,0
143439,7/8/18,365,0.449177,0
143439,7/8/18,547,0.430491,0
143439,7/8/18,730,0.39932,0
