date,office_unscaled,office_monthly,isPartial,scale,office
2010-05-19,95,80.0,,0.8,76.0
2010-05-20,87,80.0,,0.8,69.60000000000001
2010-05-21,92,80.0,,0.8,73.60000000000001
2010-05-22,66,80.0,,0.8,52.800000000000004
2010-05-23,58,80.0,,0.8,46.400000000000006
2010-05-24,93,80.0,,0.8,74.4
2010-05-25,94,80.0,,0.8,75.2
2010-05-26,93,80.0,,0.8,74.4
2010-05-27,89,80.0,,0.8,71.2
2010-05-28,88,80.0,,0.8,70.4
2010-05-29,62,80.0,,0.8,49.6
2010-05-30,52,80.0,,0.8,41.6
2010-05-31,57,80.0,,0.8,45.6
2010-06-01,92,82.0,False,0.82,75.44
2010-06-02,88,82.0,,0.82,72.16
2010-06-03,84,82.0,,0.82,68.88
2010-06-04,86,82.0,,0.82,70.52
2010-06-05,59,82.0,,0.82,48.379999999999995
2010-06-06,54,82.0,,0.82,44.279999999999994
2010-06-07,90,82.0,,0.82,73.8
2010-06-08,89,82.0,,0.82,72.97999999999999
2010-06-09,87,82.0,,0.82,71.33999999999999
2010-06-10,86,82.0,,0.82,70.52
2010-06-11,84,82.0,,0.82,68.88
2010-06-12,60,82.0,,0.82,49.199999999999996
2010-06-13,57,82.0,,0.82,46.739999999999995
2010-06-14,92,82.0,,0.82,75.44
2010-06-15,94,82.0,,0.82,77.08
2010-06-16,100,82.0,,0.82,82.0
2010-06-17,89,82.0,,0.82,72.97999999999999
2010-06-18,85,82.0,,0.82,69.7
2010-06-19,57,82.0,,0.82,46.739999999999995
2010-06-20,49,82.0,,0.82,40.18
2010-06-21,90,82.0,,0.82,73.8
2010-06-22,87,82.0,,0.82,71.33999999999999
2010-06-23,89,82.0,,0.82,72.97999999999999
2010-06-24,86,82.0,,0.82,70.52
2010-06-25,85,82.0,,0.82,69.7
2010-06-26,56,82.0,,0.82,45.919999999999995
2010-06-27,49,82.0,,0.82,40.18
2010-06-28,91,82.0,,0.82,74.61999999999999
2010-06-29,95,82.0,,0.82,77.89999999999999
2010-06-30,97,82.0,,0.82,79.53999999999999
2010-07-01,94,77.0,False,0.77,72.38
2010-07-02,89,77.0,,0.77,68.53
2010-07-03,58,77.0,,0.77,44.660000000000004
2010-07-04,48,77.0,,0.77,36.96
2010-07-05,75,77.0,,0.77,57.75
2010-07-06,94,77.0,,0.77,72.38
2010-07-07,93,77.0,,0.77,71.61
2010-07-08,94,77.0,,0.77,72.38
2010-07-09,89,77.0,,0.77,68.53
2010-07-10,61,77.0,,0.77,46.97
2010-07-11,54,77.0,,0.77,41.58
2010-07-12,100,77.0,,0.77,77.0
2010-07-13,94,77.0,,0.77,72.38
2010-07-14,91,77.0,,0.77,70.07000000000001
2010-07-15,90,77.0,,0.77,69.3
2010-07-16,86,77.0,,0.77,66.22
2010-07-17,61,77.0,,0.77,46.97
2010-07-18,57,77.0,,0.77,43.89
2010-07-19,97,77.0,,0.77,74.69
2010-07-20,98,77.0,,0.77,75.46000000000001
2010-07-21,94,77.0,,0.77,72.38
2010-07-22,87,77.0,,0.77,66.99
2010-07-23,87,77.0,,0.77,66.99
2010-07-24,59,77.0,,0.77,45.43
2010-07-25,54,77.0,,0.77,41.58
2010-07-26,100,77.0,,0.77,77.0
2010-07-27,95,77.0,,0.77,73.15
2010-07-28,96,77.0,,0.77,73.92
2010-07-29,92,77.0,,0.77,70.84
2010-07-30,90,77.0,,0.77,69.3
2010-07-31,60,77.0,,0.77,46.2
2010-08-01,56,82.0,False,0.82,45.919999999999995
2010-08-02,96,82.0,,0.82,78.72
2010-08-03,93,82.0,,0.82,76.25999999999999
2010-08-04,90,82.0,,0.82,73.8
2010-08-05,86,82.0,,0.82,70.52
2010-08-06,85,82.0,,0.82,69.7
2010-08-07,60,82.0,,0.82,49.199999999999996
2010-08-08,59,82.0,,0.82,48.379999999999995
2010-08-09,95,82.0,,0.82,77.89999999999999
2010-08-10,93,82.0,,0.82,76.25999999999999
2010-08-11,93,82.0,,0.82,76.25999999999999
2010-08-12,87,82.0,,0.82,71.33999999999999
2010-08-13,83,82.0,,0.82,68.06
2010-08-14,59,82.0,,0.82,48.379999999999995
2010-08-15,58,82.0,,0.82,47.559999999999995
2010-08-16,97,82.0,,0.82,79.53999999999999
2010-08-17,94,82.0,,0.82,77.08
2010-08-18,92,82.0,,0.82,75.44
2010-08-19,96,82.0,,0.82,78.72
2010-08-20,84,82.0,,0.82,68.88
2010-08-21,63,82.0,,0.82,51.66
2010-08-22,61,82.0,,0.82,50.019999999999996
2010-08-23,95,82.0,,0.82,77.89999999999999
2010-08-24,97,82.0,,0.82,79.53999999999999
2010-08-25,94,82.0,,0.82,77.08
2010-08-26,93,82.0,,0.82,76.25999999999999
2010-08-27,90,82.0,,0.82,73.8
2010-08-28,59,82.0,,0.82,48.379999999999995
2010-08-29,56,82.0,,0.82,45.919999999999995
2010-08-30,100,82.0,,0.82,82.0
2010-08-31,100,82.0,,0.82,82.0
2010-09-01,95,80.0,False,0.8,76.0
2010-09-02,91,80.0,,0.8,72.8
2010-09-03,85,80.0,,0.8,68.0
2010-09-04,59,80.0,,0.8,47.2
2010-09-05,53,80.0,,0.8,42.400000000000006
2010-09-06,61,80.0,,0.8,48.800000000000004
2010-09-07,100,80.0,,0.8,80.0
2010-09-08,94,80.0,,0.8,75.2
2010-09-09,94,80.0,,0.8,75.2
2010-09-10,86,80.0,,0.8,68.8
2010-09-11,58,80.0,,0.8,46.400000000000006
2010-09-12,54,80.0,,0.8,43.2
2010-09-13,91,80.0,,0.8,72.8
2010-09-14,89,80.0,,0.8,71.2
2010-09-15,92,80.0,,0.8,73.60000000000001
2010-09-16,87,80.0,,0.8,69.60000000000001
2010-09-17,85,80.0,,0.8,68.0
2010-09-18,58,80.0,,0.8,46.400000000000006
2010-09-19,53,80.0,,0.8,42.400000000000006
2010-09-20,85,80.0,,0.8,68.0
2010-09-21,88,80.0,,0.8,70.4
2010-09-22,89,80.0,,0.8,71.2
2010-09-23,88,80.0,,0.8,70.4
2010-09-24,92,80.0,,0.8,73.60000000000001
2010-09-25,62,80.0,,0.8,49.6
2010-09-26,52,80.0,,0.8,41.6
2010-09-27,89,80.0,,0.8,71.2
2010-09-28,87,80.0,,0.8,69.60000000000001
2010-09-29,85,80.0,,0.8,68.0
2010-09-30,84,80.0,,0.8,67.2
2010-10-01,96,77.0,False,0.77,73.92
2010-10-02,65,77.0,,0.77,50.050000000000004
2010-10-03,61,77.0,,0.77,46.97
2010-10-04,99,77.0,,0.77,76.23
2010-10-05,94,77.0,,0.77,72.38
2010-10-06,98,77.0,,0.77,75.46000000000001
2010-10-07,94,77.0,,0.77,72.38
2010-10-08,88,77.0,,0.77,67.76
2010-10-09,64,77.0,,0.77,49.28
2010-10-10,56,77.0,,0.77,43.120000000000005
2010-10-11,91,77.0,,0.77,70.07000000000001
2010-10-12,94,77.0,,0.77,72.38
2010-10-13,95,77.0,,0.77,73.15
2010-10-14,96,77.0,,0.77,73.92
2010-10-15,95,77.0,,0.77,73.15
2010-10-16,64,77.0,,0.77,49.28
2010-10-17,55,77.0,,0.77,42.35
2010-10-18,100,77.0,,0.77,77.0
2010-10-19,98,77.0,,0.77,75.46000000000001
2010-10-20,94,77.0,,0.77,72.38
2010-10-21,94,77.0,,0.77,72.38
2010-10-22,94,77.0,,0.77,72.38
2010-10-23,67,77.0,,0.77,51.59
2010-10-24,60,77.0,,0.77,46.2
2010-10-25,98,77.0,,0.77,75.46000000000001
2010-10-26,98,77.0,,0.77,75.46000000000001
2010-10-27,95,77.0,,0.77,73.15
2010-10-28,92,77.0,,0.77,70.84
2010-10-29,97,77.0,,0.77,74.69
2010-10-30,68,77.0,,0.77,52.36
2010-10-31,57,77.0,,0.77,43.89
2010-11-01,99,76.0,False,0.76,75.24
2010-11-02,96,76.0,,0.76,72.96000000000001
2010-11-03,91,76.0,,0.76,69.16
2010-11-04,87,76.0,,0.76,66.12
2010-11-05,91,76.0,,0.76,69.16
2010-11-06,64,76.0,,0.76,48.64
2010-11-07,53,76.0,,0.76,40.28
2010-11-08,95,76.0,,0.76,72.2
2010-11-09,91,76.0,,0.76,69.16
2010-11-10,91,76.0,,0.76,69.16
2010-11-11,91,76.0,,0.76,69.16
2010-11-12,89,76.0,,0.76,67.64
2010-11-13,64,76.0,,0.76,48.64
2010-11-14,52,76.0,,0.76,39.52
2010-11-15,93,76.0,,0.76,70.68
2010-11-16,86,76.0,,0.76,65.36
2010-11-17,90,76.0,,0.76,68.4
2010-11-18,84,76.0,,0.76,63.84
2010-11-19,90,76.0,,0.76,68.4
2010-11-20,62,76.0,,0.76,47.12
2010-11-21,57,76.0,,0.76,43.32
2010-11-22,92,76.0,,0.76,69.92
2010-11-23,86,76.0,,0.76,65.36
2010-11-24,78,76.0,,0.76,59.28
2010-11-25,55,76.0,,0.76,41.8
2010-11-26,86,76.0,,0.76,65.36
2010-11-27,64,76.0,,0.76,48.64
2010-11-28,59,76.0,,0.76,44.84
2010-11-29,100,76.0,,0.76,76.0
2010-11-30,94,76.0,,0.76,71.44
2010-12-01,89,76.0,False,0.76,67.64
2010-12-02,88,76.0,,0.76,66.88
2010-12-03,85,76.0,,0.76,64.6
2010-12-04,62,76.0,,0.76,47.12
2010-12-05,54,76.0,,0.76,41.04
2010-12-06,91,76.0,,0.76,69.16
2010-12-07,90,76.0,,0.76,68.4
2010-12-08,88,76.0,,0.76,66.88
2010-12-09,87,76.0,,0.76,66.12
2010-12-10,88,76.0,,0.76,66.88
2010-12-11,66,76.0,,0.76,50.160000000000004
2010-12-12,53,76.0,,0.76,40.28
2010-12-13,90,76.0,,0.76,68.4
2010-12-14,87,76.0,,0.76,66.12
2010-12-15,88,76.0,,0.76,66.88
2010-12-16,86,76.0,,0.76,65.36
2010-12-17,91,76.0,,0.76,69.16
2010-12-18,73,76.0,,0.76,55.480000000000004
2010-12-19,54,76.0,,0.76,41.04
2010-12-20,100,76.0,,0.76,76.0
2010-12-21,91,76.0,,0.76,69.16
2010-12-22,85,76.0,,0.76,64.6
2010-12-23,81,76.0,,0.76,61.56
2010-12-24,66,76.0,,0.76,50.160000000000004
2010-12-25,37,76.0,,0.76,28.12
2010-12-26,50,76.0,,0.76,38.0
2010-12-27,80,76.0,,0.76,60.8
2010-12-28,83,76.0,,0.76,63.08
2010-12-29,82,76.0,,0.76,62.32
2010-12-30,79,76.0,,0.76,60.04
2010-12-31,70,76.0,,0.76,53.2
2011-01-01,47,86.0,False,0.86,40.42
2011-01-02,55,86.0,,0.86,47.3
2011-01-03,99,86.0,,0.86,85.14
2011-01-04,97,86.0,,0.86,83.42
2011-01-05,92,86.0,,0.86,79.12
2011-01-06,93,86.0,,0.86,79.98
2011-01-07,94,86.0,,0.86,80.84
2011-01-08,67,86.0,,0.86,57.62
2011-01-09,53,86.0,,0.86,45.58
2011-01-10,95,86.0,,0.86,81.7
2011-01-11,90,86.0,,0.86,77.4
2011-01-12,89,86.0,,0.86,76.53999999999999
2011-01-13,89,86.0,,0.86,76.53999999999999
2011-01-14,90,86.0,,0.86,77.4
2011-01-15,69,86.0,,0.86,59.339999999999996
2011-01-16,54,86.0,,0.86,46.44
2011-01-17,83,86.0,,0.86,71.38
2011-01-18,100,86.0,,0.86,86.0
2011-01-19,96,86.0,,0.86,82.56
2011-01-20,92,86.0,,0.86,79.12
2011-01-21,95,86.0,,0.86,81.7
