date,unemployment_unscaled,unemployment_monthly,isPartial,scale,unemployment
2015-02-20,54,6.0,,0.06,3.2399999999999998
2015-02-21,33,6.0,,0.06,1.98
2015-02-22,77,6.0,,0.06,4.62
2015-02-23,95,6.0,,0.06,5.7
2015-02-24,69,6.0,,0.06,4.14
2015-02-25,63,6.0,,0.06,3.78
2015-02-26,55,6.0,,0.06,3.3
2015-02-27,52,6.0,,0.06,3.12
2015-02-28,31,6.0,,0.06,1.8599999999999999
2015-03-01,72,6.0,False,0.06,4.32
2015-03-02,93,6.0,,0.06,5.58
2015-03-03,66,6.0,,0.06,3.96
2015-03-04,60,6.0,,0.06,3.5999999999999996
2015-03-05,56,6.0,,0.06,3.36
2015-03-06,55,6.0,,0.06,3.3
2015-03-07,34,6.0,,0.06,2.04
2015-03-08,81,6.0,,0.06,4.859999999999999
2015-03-09,92,6.0,,0.06,5.52
2015-03-10,69,6.0,,0.06,4.14
2015-03-11,60,6.0,,0.06,3.5999999999999996
2015-03-12,49,6.0,,0.06,2.94
2015-03-13,48,6.0,,0.06,2.88
2015-03-14,28,6.0,,0.06,1.68
2015-03-15,72,6.0,,0.06,4.32
2015-03-16,100,6.0,,0.06,6.0
2015-03-17,69,6.0,,0.06,4.14
2015-03-18,62,6.0,,0.06,3.7199999999999998
2015-03-19,53,6.0,,0.06,3.1799999999999997
2015-03-20,52,6.0,,0.06,3.12
2015-03-21,28,6.0,,0.06,1.68
2015-03-22,78,6.0,,0.06,4.68
2015-03-23,83,6.0,,0.06,4.9799999999999995
2015-03-24,59,6.0,,0.06,3.54
2015-03-25,57,6.0,,0.06,3.42
2015-03-26,53,6.0,,0.06,3.1799999999999997
2015-03-27,46,6.0,,0.06,2.76
2015-03-28,29,6.0,,0.06,1.74
2015-03-29,73,6.0,,0.06,4.38
2015-03-30,89,6.0,,0.06,5.34
2015-03-31,64,6.0,,0.06,3.84
2015-04-01,62,5.0,False,0.05,3.1
2015-04-02,55,5.0,,0.05,2.75
2015-04-03,51,5.0,,0.05,2.5500000000000003
2015-04-04,28,5.0,,0.05,1.4000000000000001
2015-04-05,78,5.0,,0.05,3.9000000000000004
2015-04-06,100,5.0,,0.05,5.0
2015-04-07,72,5.0,,0.05,3.6
2015-04-08,67,5.0,,0.05,3.35
2015-04-09,59,5.0,,0.05,2.95
2015-04-10,55,5.0,,0.05,2.75
2015-04-11,30,5.0,,0.05,1.5
2015-04-12,80,5.0,,0.05,4.0
2015-04-13,99,5.0,,0.05,4.95
2015-04-14,73,5.0,,0.05,3.6500000000000004
2015-04-15,69,5.0,,0.05,3.45
2015-04-16,57,5.0,,0.05,2.85
2015-04-17,51,5.0,,0.05,2.5500000000000003
2015-04-18,28,5.0,,0.05,1.4000000000000001
2015-04-19,76,5.0,,0.05,3.8000000000000003
2015-04-20,86,5.0,,0.05,4.3
2015-04-21,73,5.0,,0.05,3.6500000000000004
2015-04-22,65,5.0,,0.05,3.25
2015-04-23,55,5.0,,0.05,2.75
2015-04-24,57,5.0,,0.05,2.85
2015-04-25,30,5.0,,0.05,1.5
2015-04-26,68,5.0,,0.05,3.4000000000000004
2015-04-27,88,5.0,,0.05,4.4
2015-04-28,66,5.0,,0.05,3.3000000000000003
2015-04-29,64,5.0,,0.05,3.2
2015-04-30,59,5.0,,0.05,2.95
2015-05-01,58,5.0,False,0.05,2.9000000000000004
2015-05-02,29,5.0,,0.05,1.4500000000000002
2015-05-03,75,5.0,,0.05,3.75
2015-05-04,93,5.0,,0.05,4.65
2015-05-05,76,5.0,,0.05,3.8000000000000003
2015-05-06,66,5.0,,0.05,3.3000000000000003
2015-05-07,58,5.0,,0.05,2.9000000000000004
2015-05-08,64,5.0,,0.05,3.2
2015-05-09,31,5.0,,0.05,1.55
2015-05-10,81,5.0,,0.05,4.05
2015-05-11,100,5.0,,0.05,5.0
2015-05-12,71,5.0,,0.05,3.5500000000000003
2015-05-13,65,5.0,,0.05,3.25
2015-05-14,62,5.0,,0.05,3.1
2015-05-15,57,5.0,,0.05,2.85
2015-05-16,31,5.0,,0.05,1.55
2015-05-17,77,5.0,,0.05,3.85
2015-05-18,100,5.0,,0.05,5.0
2015-05-19,76,5.0,,0.05,3.8000000000000003
2015-05-20,63,5.0,,0.05,3.1500000000000004
2015-05-21,58,5.0,,0.05,2.9000000000000004
2015-05-22,54,5.0,,0.05,2.7
2015-05-23,30,5.0,,0.05,1.5
2015-05-24,71,5.0,,0.05,3.5500000000000003
2015-05-25,65,5.0,,0.05,3.25
2015-05-26,88,5.0,,0.05,4.4
2015-05-27,77,5.0,,0.05,3.85
2015-05-28,66,5.0,,0.05,3.3000000000000003
2015-05-29,58,5.0,,0.05,2.9000000000000004
2015-05-30,36,5.0,,0.05,1.8
2015-05-31,85,5.0,,0.05,4.25
2015-06-01,86,6.0,False,0.06,5.16
2015-06-02,71,6.0,,0.06,4.26
2015-06-03,65,6.0,,0.06,3.9
2015-06-04,60,6.0,,0.06,3.5999999999999996
2015-06-05,54,6.0,,0.06,3.2399999999999998
2015-06-06,32,6.0,,0.06,1.92
2015-06-07,79,6.0,,0.06,4.74
2015-06-08,96,6.0,,0.06,5.76
2015-06-09,71,6.0,,0.06,4.26
2015-06-10,64,6.0,,0.06,3.84
2015-06-11,55,6.0,,0.06,3.3
2015-06-12,51,6.0,,0.06,3.06
2015-06-13,30,6.0,,0.06,1.7999999999999998
2015-06-14,80,6.0,,0.06,4.8
2015-06-15,91,6.0,,0.06,5.46
2015-06-16,68,6.0,,0.06,4.08
2015-06-17,64,6.0,,0.06,3.84
2015-06-18,55,6.0,,0.06,3.3
2015-06-19,49,6.0,,0.06,2.94
2015-06-20,31,6.0,,0.06,1.8599999999999999
2015-06-21,81,6.0,,0.06,4.859999999999999
2015-06-22,96,6.0,,0.06,5.76
2015-06-23,74,6.0,,0.06,4.4399999999999995
2015-06-24,69,6.0,,0.06,4.14
2015-06-25,62,6.0,,0.06,3.7199999999999998
2015-06-26,62,6.0,,0.06,3.7199999999999998
2015-06-27,36,6.0,,0.06,2.16
2015-06-28,78,6.0,,0.06,4.68
2015-06-29,100,6.0,,0.06,6.0
2015-06-30,81,6.0,,0.06,4.859999999999999
2015-07-01,60,6.0,False,0.06,3.5999999999999996
2015-07-02,60,6.0,,0.06,3.5999999999999996
2015-07-03,48,6.0,,0.06,2.88
2015-07-04,24,6.0,,0.06,1.44
2015-07-05,81,6.0,,0.06,4.859999999999999
2015-07-06,100,6.0,,0.06,6.0
2015-07-07,73,6.0,,0.06,4.38
2015-07-08,63,6.0,,0.06,3.78
2015-07-09,56,6.0,,0.06,3.36
2015-07-10,55,6.0,,0.06,3.3
2015-07-11,32,6.0,,0.06,1.92
2015-07-12,78,6.0,,0.06,4.68
2015-07-13,100,6.0,,0.06,6.0
2015-07-14,72,6.0,,0.06,4.32
2015-07-15,63,6.0,,0.06,3.78
2015-07-16,55,6.0,,0.06,3.3
2015-07-17,49,6.0,,0.06,2.94
2015-07-18,29,6.0,,0.06,1.74
2015-07-19,72,6.0,,0.06,4.32
2015-07-20,86,6.0,,0.06,5.16
2015-07-21,71,6.0,,0.06,4.26
2015-07-22,58,6.0,,0.06,3.48
2015-07-23,59,6.0,,0.06,3.54
2015-07-24,53,6.0,,0.06,3.1799999999999997
2015-07-25,27,6.0,,0.06,1.6199999999999999
2015-07-26,64,6.0,,0.06,3.84
2015-07-27,91,6.0,,0.06,5.46
2015-07-28,67,6.0,,0.06,4.02
2015-07-29,59,6.0,,0.06,3.54
2015-07-30,54,6.0,,0.06,3.2399999999999998
2015-07-31,46,6.0,,0.06,2.76
2015-08-01,35,5.0,False,0.05,1.75
2015-08-02,80,5.0,,0.05,4.0
2015-08-03,93,5.0,,0.05,4.65
2015-08-04,66,5.0,,0.05,3.3000000000000003
2015-08-05,65,5.0,,0.05,3.25
2015-08-06,52,5.0,,0.05,2.6
2015-08-07,61,5.0,,0.05,3.0500000000000003
2015-08-08,35,5.0,,0.05,1.75
2015-08-09,83,5.0,,0.05,4.15
2015-08-10,92,5.0,,0.05,4.6000000000000005
2015-08-11,69,5.0,,0.05,3.45
2015-08-12,61,5.0,,0.05,3.0500000000000003
2015-08-13,56,5.0,,0.05,2.8000000000000003
2015-08-14,51,5.0,,0.05,2.5500000000000003
2015-08-15,30,5.0,,0.05,1.5
2015-08-16,76,5.0,,0.05,3.8000000000000003
2015-08-17,89,5.0,,0.05,4.45
2015-08-18,71,5.0,,0.05,3.5500000000000003
2015-08-19,61,5.0,,0.05,3.0500000000000003
2015-08-20,56,5.0,,0.05,2.8000000000000003
2015-08-21,50,5.0,,0.05,2.5
2015-08-22,33,5.0,,0.05,1.6500000000000001
2015-08-23,81,5.0,,0.05,4.05
2015-08-24,100,5.0,,0.05,5.0
2015-08-25,69,5.0,,0.05,3.45
2015-08-26,60,5.0,,0.05,3.0
2015-08-27,58,5.0,,0.05,2.9000000000000004
2015-08-28,48,5.0,,0.05,2.4000000000000004
2015-08-29,26,5.0,,0.05,1.3
2015-08-30,76,5.0,,0.05,3.8000000000000003
2015-08-31,87,5.0,,0.05,4.3500000000000005
2015-09-01,78,5.0,False,0.05,3.9000000000000004
2015-09-02,71,5.0,,0.05,3.5500000000000003
2015-09-03,59,5.0,,0.05,2.95
2015-09-04,66,5.0,,0.05,3.3000000000000003
2015-09-05,34,5.0,,0.05,1.7000000000000002
2015-09-06,85,5.0,,0.05,4.25
2015-09-07,69,5.0,,0.05,3.45
2015-09-08,94,5.0,,0.05,4.7
2015-09-09,82,5.0,,0.05,4.1000000000000005
2015-09-10,70,5.0,,0.05,3.5
2015-09-11,53,5.0,,0.05,2.6500000000000004
2015-09-12,32,5.0,,0.05,1.6
2015-09-13,83,5.0,,0.05,4.15
2015-09-14,100,5.0,,0.05,5.0
2015-09-15,82,5.0,,0.05,4.1000000000000005
2015-09-16,72,5.0,,0.05,3.6
2015-09-17,63,5.0,,0.05,3.1500000000000004
2015-09-18,60,5.0,,0.05,3.0
2015-09-19,33,5.0,,0.05,1.6500000000000001
2015-09-20,78,5.0,,0.05,3.9000000000000004
2015-09-21,94,5.0,,0.05,4.7
2015-09-22,75,5.0,,0.05,3.75
2015-09-23,66,5.0,,0.05,3.3000000000000003
2015-09-24,64,5.0,,0.05,3.2
2015-09-25,52,5.0,,0.05,2.6
2015-09-26,35,5.0,,0.05,1.75
2015-09-27,81,5.0,,0.05,4.05
2015-09-28,98,5.0,,0.05,4.9
2015-09-29,80,5.0,,0.05,4.0
2015-09-30,71,5.0,,0.05,3.5500000000000003
2015-10-01,58,5.0,False,0.05,2.9000000000000004
2015-10-02,58,5.0,,0.05,2.9000000000000004
2015-10-03,32,5.0,,0.05,1.6
2015-10-04,73,5.0,,0.05,3.6500000000000004
2015-10-05,96,5.0,,0.05,4.800000000000001
2015-10-06,71,5.0,,0.05,3.5500000000000003
2015-10-07,64,5.0,,0.05,3.2
2015-10-08,58,5.0,,0.05,2.9000000000000004
2015-10-09,55,5.0,,0.05,2.75
2015-10-10,35,5.0,,0.05,1.75
2015-10-11,73,5.0,,0.05,3.6500000000000004
2015-10-12,92,5.0,,0.05,4.6000000000000005
2015-10-13,83,5.0,,0.05,4.15
2015-10-14,69,5.0,,0.05,3.45
2015-10-15,61,5.0,,0.05,3.0500000000000003
2015-10-16,57,5.0,,0.05,2.85
2015-10-17,31,5.0,,0.05,1.55
2015-10-18,71,5.0,,0.05,3.5500000000000003
2015-10-19,100,5.0,,0.05,5.0
2015-10-20,74,5.0,,0.05,3.7
2015-10-21,61,5.0,,0.05,3.0500000000000003
2015-10-22,62,5.0,,0.05,3.1
2015-10-23,61,5.0,,0.05,3.0500000000000003
2015-10-24,31,5.0,,0.05,1.55
2015-10-25,67,5.0,,0.05,3.35
2015-10-26,96,5.0,,0.05,4.800000000000001
2015-10-27,71,5.0,,0.05,3.5500000000000003
2015-10-28,62,5.0,,0.05,3.1
2015-10-29,61,5.0,,0.05,3.0500000000000003
2015-10-30,53,5.0,,0.05,2.6500000000000004
2015-10-31,29,5.0,,0.05,1.4500000000000002
2015-11-01,74,5.0,False,0.05,3.7
2015-11-02,93,5.0,,0.05,4.65
2015-11-03,69,5.0,,0.05,3.45
2015-11-04,65,5.0,,0.05,3.25
2015-11-05,62,5.0,,0.05,3.1
2015-11-06,62,5.0,,0.05,3.1
2015-11-07,35,5.0,,0.05,1.75
2015-11-08,67,5.0,,0.05,3.35
2015-11-09,100,5.0,,0.05,5.0
2015-11-10,74,5.0,,0.05,3.7
2015-11-11,62,5.0,,0.05,3.1
2015-11-12,65,5.0,,0.05,3.25
2015-11-13,55,5.0,,0.05,2.75
2015-11-14,36,5.0,,0.05,1.8
2015-11-15,80,5.0,,0.05,4.0
2015-11-16,93,5.0,,0.05,4.65
2015-11-17,77,5.0,,0.05,3.85
2015-11-18,70,5.0,,0.05,3.5
2015-11-19,66,5.0,,0.05,3.3000000000000003
2015-11-20,61,5.0,,0.05,3.0500000000000003
2015-11-21,35,5.0,,0.05,1.75
2015-11-22,71,5.0,,0.05,3.5500000000000003
2015-11-23,92,5.0,,0.05,4.6000000000000005
2015-11-24,73,5.0,,0.05,3.6500000000000004
2015-11-25,53,5.0,,0.05,2.6500000000000004
2015-11-26,23,5.0,,0.05,1.1500000000000001
2015-11-27,38,5.0,,0.05,1.9000000000000001
2015-11-28,28,5.0,,0.05,1.4000000000000001
2015-11-29,79,5.0,,0.05,3.95
2015-11-30,96,5.0,,0.05,4.800000000000001
2015-12-01,68,6.0,False,0.06,4.08
2015-12-02,66,6.0,,0.06,3.96
2015-12-03,64,6.0,,0.06,3.84
2015-12-04,55,6.0,,0.06,3.3
2015-12-05,28,6.0,,0.06,1.68
2015-12-06,72,6.0,,0.06,4.32
2015-12-07,87,6.0,,0.06,5.22
2015-12-08,70,6.0,,0.06,4.2
2015-12-09,63,6.0,,0.06,3.78
2015-12-10,59,6.0,,0.06,3.54
2015-12-11,54,6.0,,0.06,3.2399999999999998
2015-12-12,30,6.0,,0.06,1.7999999999999998
2015-12-13,71,6.0,,0.06,4.26
2015-12-14,90,6.0,,0.06,5.3999999999999995
2015-12-15,69,6.0,,0.06,4.14
2015-12-16,62,6.0,,0.06,3.7199999999999998
2015-12-17,59,6.0,,0.06,3.54
2015-12-18,56,6.0,,0.06,3.36
2015-12-19,30,6.0,,0.06,1.7999999999999998
2015-12-20,68,6.0,,0.06,4.08
2015-12-21,98,6.0,,0.06,5.88
2015-12-22,68,6.0,,0.06,4.08
2015-12-23,54,6.0,,0.06,3.2399999999999998
2015-12-24,39,6.0,,0.06,2.34
2015-12-25,18,6.0,,0.06,1.08
2015-12-26,27,6.0,,0.06,1.6199999999999999
2015-12-27,76,6.0,,0.06,4.56
2015-12-28,100,6.0,,0.06,6.0
2015-12-29,77,6.0,,0.06,4.62
2015-12-30,68,6.0,,0.06,4.08
2015-12-31,51,6.0,,0.06,3.06
2016-01-01,23,7.0,False,0.07,1.61
2016-01-02,23,7.0,,0.07,1.61
2016-01-03,57,7.0,,0.07,3.99
2016-01-04,86,7.0,,0.07,6.0200000000000005
2016-01-05,72,7.0,,0.07,5.040000000000001
2016-01-06,61,7.0,,0.07,4.2700000000000005
2016-01-07,49,7.0,,0.07,3.43
2016-01-08,56,7.0,,0.07,3.9200000000000004
2016-01-09,30,7.0,,0.07,2.1
2016-01-10,65,7.0,,0.07,4.550000000000001
2016-01-11,100,7.0,,0.07,7.000000000000001
2016-01-12,73,7.0,,0.07,5.11
2016-01-13,58,7.0,,0.07,4.0600000000000005
2016-01-14,49,7.0,,0.07,3.43
2016-01-15,53,7.0,,0.07,3.7100000000000004
2016-01-16,28,7.0,,0.07,1.9600000000000002
2016-01-17,53,7.0,,0.07,3.7100000000000004
2016-01-18,66,7.0,,0.07,4.62
2016-01-19,72,7.0,,0.07,5.040000000000001
2016-01-20,68,7.0,,0.07,4.760000000000001
2016-01-21,59,7.0,,0.07,4.130000000000001
2016-01-22,43,7.0,,0.07,3.0100000000000002
2016-01-23,25,7.0,,0.07,1.7500000000000002
2016-01-24,55,7.0,,0.07,3.8500000000000005
2016-01-25,83,7.0,,0.07,5.8100000000000005
2016-01-26,64,7.0,,0.07,4.48
2016-01-27,57,7.0,,0.07,3.99
2016-01-28,49,7.0,,0.07,3.43
2016-01-29,49,7.0,,0.07,3.43
2016-01-30,27,7.0,,0.07,1.8900000000000001
2016-01-31,58,7.0,,0.07,4.0600000000000005
2016-02-01,100,6.0,False,0.06,6.0
2016-02-02,77,6.0,,0.06,4.62
2016-02-03,73,6.0,,0.06,4.38
2016-02-04,63,6.0,,0.06,3.78
2016-02-05,62,6.0,,0.06,3.7199999999999998
2016-02-06,38,6.0,,0.06,2.28
2016-02-07,77,6.0,,0.06,4.62
2016-02-08,83,6.0,,0.06,4.9799999999999995
2016-02-09,66,6.0,,0.06,3.96
2016-02-10,70,6.0,,0.06,4.2
2016-02-11,62,6.0,,0.06,3.7199999999999998
2016-02-12,53,6.0,,0.06,3.1799999999999997
2016-02-13,30,6.0,,0.06,1.7999999999999998
2016-02-14,64,6.0,,0.06,3.84
2016-02-15,83,6.0,,0.06,4.9799999999999995
2016-02-16,74,6.0,,0.06,4.4399999999999995
2016-02-17,79,6.0,,0.06,4.74
2016-02-18,61,6.0,,0.06,3.6599999999999997
2016-02-19,51,6.0,,0.06,3.06
2016-02-20,28,6.0,,0.06,1.68
2016-02-21,71,6.0,,0.06,4.26
2016-02-22,89,6.0,,0.06,5.34
2016-02-23,70,6.0,,0.06,4.2
2016-02-24,53,6.0,,0.06,3.1799999999999997
2016-02-25,56,6.0,,0.06,3.36
2016-02-26,49,6.0,,0.06,2.94
2016-02-27,32,6.0,,0.06,1.92
2016-02-28,66,6.0,,0.06,3.96
2016-02-29,82,6.0,,0.06,4.92
2016-03-01,78,5.0,False,0.05,3.9000000000000004
2016-03-02,70,5.0,,0.05,3.5
2016-03-03,62,5.0,,0.05,3.1
2016-03-04,60,5.0,,0.05,3.0
2016-03-05,37,5.0,,0.05,1.85
2016-03-06,80,5.0,,0.05,4.0
2016-03-07,99,5.0,,0.05,4.95
2016-03-08,71,5.0,,0.05,3.5500000000000003
2016-03-09,70,5.0,,0.05,3.5
2016-03-10,56,5.0,,0.05,2.8000000000000003
2016-03-11,54,5.0,,0.05,2.7
2016-03-12,33,5.0,,0.05,1.6500000000000001
2016-03-13,77,5.0,,0.05,3.85
2016-03-14,100,5.0,,0.05,5.0
2016-03-15,76,5.0,,0.05,3.8000000000000003
2016-03-16,63,5.0,,0.05,3.1500000000000004
2016-03-17,54,5.0,,0.05,2.7
2016-03-18,47,5.0,,0.05,2.35
2016-03-19,30,5.0,,0.05,1.5
2016-03-20,83,5.0,,0.05,4.15
2016-03-21,97,5.0,,0.05,4.8500000000000005
2016-03-22,67,5.0,,0.05,3.35
2016-03-23,63,5.0,,0.05,3.1500000000000004
2016-03-24,60,5.0,,0.05,3.0
2016-03-25,47,5.0,,0.05,2.35
2016-03-26,28,5.0,,0.05,1.4000000000000001
2016-03-27,70,5.0,,0.05,3.5
2016-03-28,99,5.0,,0.05,4.95
2016-03-29,76,5.0,,0.05,3.8000000000000003
2016-03-30,62,5.0,,0.05,3.1
2016-03-31,58,5.0,,0.05,2.9000000000000004
2016-04-01,62,5.0,False,0.05,3.1
2016-04-02,33,5.0,,0.05,1.6500000000000001
2016-04-03,85,5.0,,0.05,4.25
2016-04-04,98,5.0,,0.05,4.9
2016-04-05,75,5.0,,0.05,3.75
2016-04-06,69,5.0,,0.05,3.45
2016-04-07,63,5.0,,0.05,3.1500000000000004
2016-04-08,55,5.0,,0.05,2.75
2016-04-09,33,5.0,,0.05,1.6500000000000001
2016-04-10,83,5.0,,0.05,4.15
2016-04-11,100,5.0,,0.05,5.0
2016-04-12,79,5.0,,0.05,3.95
2016-04-13,73,5.0,,0.05,3.6500000000000004
2016-04-14,65,5.0,,0.05,3.25
2016-04-15,62,5.0,,0.05,3.1
2016-04-16,35,5.0,,0.05,1.75
2016-04-17,77,5.0,,0.05,3.85
2016-04-18,93,5.0,,0.05,4.65
2016-04-19,76,5.0,,0.05,3.8000000000000003
2016-04-20,64,5.0,,0.05,3.2
2016-04-21,52,5.0,,0.05,2.6
2016-04-22,52,5.0,,0.05,2.6
2016-04-23,33,5.0,,0.05,1.6500000000000001
2016-04-24,81,5.0,,0.05,4.05
2016-04-25,97,5.0,,0.05,4.8500000000000005
2016-04-26,78,5.0,,0.05,3.9000000000000004
2016-04-27,68,5.0,,0.05,3.4000000000000004
2016-04-28,64,5.0,,0.05,3.2
2016-04-29,57,5.0,,0.05,2.85
2016-04-30,32,5.0,,0.05,1.6
2016-05-01,80,5.0,False,0.05,4.0
2016-05-02,97,5.0,,0.05,4.8500000000000005
2016-05-03,74,5.0,,0.05,3.7
2016-05-04,63,5.0,,0.05,3.1500000000000004
2016-05-05,61,5.0,,0.05,3.0500000000000003
2016-05-06,62,5.0,,0.05,3.1
2016-05-07,30,5.0,,0.05,1.5
2016-05-08,66,5.0,,0.05,3.3000000000000003
2016-05-09,100,5.0,,0.05,5.0
2016-05-10,73,5.0,,0.05,3.6500000000000004
2016-05-11,65,5.0,,0.05,3.25
2016-05-12,57,5.0,,0.05,2.85
2016-05-13,51,5.0,,0.05,2.5500000000000003
2016-05-14,30,5.0,,0.05,1.5
2016-05-15,72,5.0,,0.05,3.6
2016-05-16,95,5.0,,0.05,4.75
2016-05-17,70,5.0,,0.05,3.5
2016-05-18,63,5.0,,0.05,3.1500000000000004
2016-05-19,57,5.0,,0.05,2.85
2016-05-20,54,5.0,,0.05,2.7
2016-05-21,34,5.0,,0.05,1.7000000000000002
2016-05-22,64,5.0,,0.05,3.2
2016-05-23,88,5.0,,0.05,4.4
2016-05-24,68,5.0,,0.05,3.4000000000000004
2016-05-25,63,5.0,,0.05,3.1500000000000004
2016-05-26,55,5.0,,0.05,2.75
2016-05-27,49,5.0,,0.05,2.45
2016-05-28,30,5.0,,0.05,1.5
2016-05-29,65,5.0,,0.05,3.25
2016-05-30,61,5.0,,0.05,3.0500000000000003
2016-05-31,91,5.0,,0.05,4.55
2016-06-01,66,5.0,False,0.05,3.3000000000000003
2016-06-02,55,5.0,,0.05,2.75
2016-06-03,56,5.0,,0.05,2.8000000000000003
2016-06-04,30,5.0,,0.05,1.5
2016-06-05,74,5.0,,0.05,3.7
2016-06-06,88,5.0,,0.05,4.4
2016-06-07,69,5.0,,0.05,3.45
2016-06-08,62,5.0,,0.05,3.1
2016-06-09,59,5.0,,0.05,2.95
2016-06-10,51,5.0,,0.05,2.5500000000000003
2016-06-11,25,5.0,,0.05,1.25
2016-06-12,59,5.0,,0.05,2.95
2016-06-13,89,5.0,,0.05,4.45
2016-06-14,64,5.0,,0.05,3.2
2016-06-15,57,5.0,,0.05,2.85
2016-06-16,56,5.0,,0.05,2.8000000000000003
2016-06-17,50,5.0,,0.05,2.5
2016-06-18,29,5.0,,0.05,1.4500000000000002
2016-06-19,72,5.0,,0.05,3.6
2016-06-20,86,5.0,,0.05,4.3
2016-06-21,71,5.0,,0.05,3.5500000000000003
2016-06-22,62,5.0,,0.05,3.1
2016-06-23,60,5.0,,0.05,3.0
2016-06-24,53,5.0,,0.05,2.6500000000000004
2016-06-25,28,5.0,,0.05,1.4000000000000001
2016-06-26,75,5.0,,0.05,3.75
2016-06-27,100,5.0,,0.05,5.0
2016-06-28,71,5.0,,0.05,3.5500000000000003
2016-06-29,66,5.0,,0.05,3.3000000000000003
2016-06-30,54,5.0,,0.05,2.7
2016-07-01,65,5.0,False,0.05,3.25
2016-07-02,37,5.0,,0.05,1.85
2016-07-03,67,5.0,,0.05,3.35
2016-07-04,61,5.0,,0.05,3.0500000000000003
2016-07-05,87,5.0,,0.05,4.3500000000000005
2016-07-06,77,5.0,,0.05,3.85
2016-07-07,75,5.0,,0.05,3.75
2016-07-08,56,5.0,,0.05,2.8000000000000003
2016-07-09,39,5.0,,0.05,1.9500000000000002
2016-07-10,73,5.0,,0.05,3.6500000000000004
2016-07-11,100,5.0,,0.05,5.0
2016-07-12,82,5.0,,0.05,4.1000000000000005
2016-07-13,73,5.0,,0.05,3.6500000000000004
2016-07-14,59,5.0,,0.05,2.95
2016-07-15,54,5.0,,0.05,2.7
2016-07-16,32,5.0,,0.05,1.6
2016-07-17,77,5.0,,0.05,3.85
2016-07-18,100,5.0,,0.05,5.0
2016-07-19,80,5.0,,0.05,4.0
2016-07-20,73,5.0,,0.05,3.6500000000000004
2016-07-21,63,5.0,,0.05,3.1500000000000004
2016-07-22,61,5.0,,0.05,3.0500000000000003
2016-07-23,30,5.0,,0.05,1.5
2016-07-24,85,5.0,,0.05,4.25
2016-07-25,93,5.0,,0.05,4.65
2016-07-26,79,5.0,,0.05,3.95
2016-07-27,70,5.0,,0.05,3.5
2016-07-28,56,5.0,,0.05,2.8000000000000003
2016-07-29,58,5.0,,0.05,2.9000000000000004
2016-07-30,31,5.0,,0.05,1.55
2016-07-31,72,5.0,,0.05,3.6
2016-08-01,100,5.0,False,0.05,5.0
2016-08-02,80,5.0,,0.05,4.0
2016-08-03,66,5.0,,0.05,3.3000000000000003
2016-08-04,63,5.0,,0.05,3.1500000000000004
2016-08-05,58,5.0,,0.05,2.9000000000000004
2016-08-06,31,5.0,,0.05,1.55
2016-08-07,72,5.0,,0.05,3.6
2016-08-08,100,5.0,,0.05,5.0
2016-08-09,75,5.0,,0.05,3.75
2016-08-10,65,5.0,,0.05,3.25
2016-08-11,60,5.0,,0.05,3.0
2016-08-12,51,5.0,,0.05,2.5500000000000003
2016-08-13,31,5.0,,0.05,1.55
2016-08-14,72,5.0,,0.05,3.6
2016-08-15,93,5.0,,0.05,4.65
2016-08-16,71,5.0,,0.05,3.5500000000000003
2016-08-17,62,5.0,,0.05,3.1
2016-08-18,55,5.0,,0.05,2.75
2016-08-19,55,5.0,,0.05,2.75
2016-08-20,31,5.0,,0.05,1.55
2016-08-21,74,5.0,,0.05,3.7
2016-08-22,93,5.0,,0.05,4.65
2016-08-23,71,5.0,,0.05,3.5500000000000003
2016-08-24,60,5.0,,0.05,3.0
2016-08-25,62,5.0,,0.05,3.1
2016-08-26,51,5.0,,0.05,2.5500000000000003
2016-08-27,29,5.0,,0.05,1.4500000000000002
2016-08-28,73,5.0,,0.05,3.6500000000000004
2016-08-29,88,5.0,,0.05,4.4
2016-08-30,70,5.0,,0.05,3.5
2016-08-31,59,5.0,,0.05,2.95
2016-09-01,68,4.0,False,0.04,2.72
2016-09-02,57,4.0,,0.04,2.2800000000000002
2016-09-03,28,4.0,,0.04,1.12
2016-09-04,63,4.0,,0.04,2.52
2016-09-05,58,4.0,,0.04,2.32
2016-09-06,93,4.0,,0.04,3.72
2016-09-07,74,4.0,,0.04,2.96
2016-09-08,67,4.0,,0.04,2.68
2016-09-09,65,4.0,,0.04,2.6
2016-09-10,34,4.0,,0.04,1.36
2016-09-11,67,4.0,,0.04,2.68
2016-09-12,100,4.0,,0.04,4.0
2016-09-13,77,4.0,,0.04,3.08
2016-09-14,75,4.0,,0.04,3.0
2016-09-15,67,4.0,,0.04,2.68
2016-09-16,61,4.0,,0.04,2.44
2016-09-17,33,4.0,,0.04,1.32
2016-09-18,68,4.0,,0.04,2.72
2016-09-19,96,4.0,,0.04,3.84
2016-09-20,68,4.0,,0.04,2.72
2016-09-21,67,4.0,,0.04,2.68
2016-09-22,66,4.0,,0.04,2.64
2016-09-23,63,4.0,,0.04,2.52
2016-09-24,34,4.0,,0.04,1.36
2016-09-25,73,4.0,,0.04,2.92
2016-09-26,92,4.0,,0.04,3.68
2016-09-27,76,4.0,,0.04,3.04
2016-09-28,68,4.0,,0.04,2.72
2016-09-29,61,4.0,,0.04,2.44
2016-09-30,59,4.0,,0.04,2.36
