date,default_unscaled,default_monthly,isPartial,scale,default
2016-10-19,92,51.0,,0.51,46.92
2016-10-20,90,51.0,,0.51,45.9
2016-10-21,80,51.0,,0.51,40.8
2016-10-22,60,51.0,,0.51,30.6
2016-10-23,52,51.0,,0.51,26.52
2016-10-24,93,51.0,,0.51,47.43
2016-10-25,91,51.0,,0.51,46.410000000000004
2016-10-26,91,51.0,,0.51,46.410000000000004
2016-10-27,88,51.0,,0.51,44.88
2016-10-28,83,51.0,,0.51,42.33
2016-10-29,53,51.0,,0.51,27.03
2016-10-30,43,51.0,,0.51,21.93
2016-10-31,86,51.0,,0.51,43.86
2016-11-01,93,54.0,False,0.54,50.220000000000006
2016-11-02,82,54.0,,0.54,44.28
2016-11-03,84,54.0,,0.54,45.36
2016-11-04,85,54.0,,0.54,45.900000000000006
2016-11-05,51,54.0,,0.54,27.540000000000003
2016-11-06,55,54.0,,0.54,29.700000000000003
2016-11-07,76,54.0,,0.54,41.040000000000006
2016-11-08,83,54.0,,0.54,44.82
2016-11-09,63,54.0,,0.54,34.02
2016-11-10,87,54.0,,0.54,46.980000000000004
2016-11-11,79,54.0,,0.54,42.660000000000004
2016-11-12,49,54.0,,0.54,26.46
2016-11-13,50,54.0,,0.54,27.0
2016-11-14,82,54.0,,0.54,44.28
2016-11-15,100,54.0,,0.54,54.0
2016-11-16,99,54.0,,0.54,53.46
2016-11-17,82,54.0,,0.54,44.28
2016-11-18,82,54.0,,0.54,44.28
2016-11-19,52,54.0,,0.54,28.080000000000002
2016-11-20,45,54.0,,0.54,24.3
2016-11-21,85,54.0,,0.54,45.900000000000006
2016-11-22,85,54.0,,0.54,45.900000000000006
2016-11-23,80,54.0,,0.54,43.2
2016-11-24,45,54.0,,0.54,24.3
2016-11-25,52,54.0,,0.54,28.080000000000002
2016-11-26,48,54.0,,0.54,25.92
2016-11-27,54,54.0,,0.54,29.160000000000004
2016-11-28,84,54.0,,0.54,45.36
2016-11-29,92,54.0,,0.54,49.68000000000001
2016-11-30,98,54.0,,0.54,52.92
2016-12-01,94,51.0,False,0.51,47.94
2016-12-02,86,51.0,,0.51,43.86
2016-12-03,64,51.0,,0.51,32.64
2016-12-04,53,51.0,,0.51,27.03
2016-12-05,91,51.0,,0.51,46.410000000000004
2016-12-06,98,51.0,,0.51,49.980000000000004
2016-12-07,100,51.0,,0.51,51.0
2016-12-08,97,51.0,,0.51,49.47
2016-12-09,81,51.0,,0.51,41.31
2016-12-10,63,51.0,,0.51,32.13
2016-12-11,57,51.0,,0.51,29.07
2016-12-12,80,51.0,,0.51,40.8
2016-12-13,92,51.0,,0.51,46.92
2016-12-14,91,51.0,,0.51,46.410000000000004
2016-12-15,85,51.0,,0.51,43.35
2016-12-16,82,51.0,,0.51,41.82
2016-12-17,56,51.0,,0.51,28.560000000000002
2016-12-18,49,51.0,,0.51,24.990000000000002
2016-12-19,83,51.0,,0.51,42.33
2016-12-20,89,51.0,,0.51,45.39
2016-12-21,83,51.0,,0.51,42.33
2016-12-22,85,51.0,,0.51,43.35
2016-12-23,69,51.0,,0.51,35.19
2016-12-24,44,51.0,,0.51,22.44
2016-12-25,54,51.0,,0.51,27.54
2016-12-26,56,51.0,,0.51,28.560000000000002
2016-12-27,70,51.0,,0.51,35.7
2016-12-28,84,51.0,,0.51,42.84
2016-12-29,81,51.0,,0.51,41.31
2016-12-30,75,51.0,,0.51,38.25
2016-12-31,53,51.0,,0.51,27.03
2017-01-01,43,55.0,False,0.55,23.650000000000002
2017-01-02,60,55.0,,0.55,33.0
2017-01-03,83,55.0,,0.55,45.650000000000006
2017-01-04,88,55.0,,0.55,48.400000000000006
2017-01-05,93,55.0,,0.55,51.150000000000006
2017-01-06,82,55.0,,0.55,45.1
2017-01-07,53,55.0,,0.55,29.150000000000002
2017-01-08,55,55.0,,0.55,30.250000000000004
2017-01-09,80,55.0,,0.55,44.0
2017-01-10,90,55.0,,0.55,49.50000000000001
2017-01-11,89,55.0,,0.55,48.95
2017-01-12,91,55.0,,0.55,50.050000000000004
2017-01-13,87,55.0,,0.55,47.85
2017-01-14,49,55.0,,0.55,26.950000000000003
2017-01-15,56,55.0,,0.55,30.800000000000004
2017-01-16,73,55.0,,0.55,40.150000000000006
2017-01-17,97,55.0,,0.55,53.35
2017-01-18,91,55.0,,0.55,50.050000000000004
2017-01-19,100,55.0,,0.55,55.00000000000001
2017-01-20,88,55.0,,0.55,48.400000000000006
2017-01-21,59,55.0,,0.55,32.45
2017-01-22,55,55.0,,0.55,30.250000000000004
2017-01-23,87,55.0,,0.55,47.85
2017-01-24,98,55.0,,0.55,53.900000000000006
2017-01-25,100,55.0,,0.55,55.00000000000001
2017-01-26,95,55.0,,0.55,52.25000000000001
2017-01-27,88,55.0,,0.55,48.400000000000006
2017-01-28,54,55.0,,0.55,29.700000000000003
2017-01-29,52,55.0,,0.55,28.6
2017-01-30,84,55.0,,0.55,46.2
2017-01-31,95,55.0,,0.55,52.25000000000001
2017-02-01,97,57.0,False,0.57,55.28999999999999
2017-02-02,96,57.0,,0.57,54.72
2017-02-03,98,57.0,,0.57,55.85999999999999
2017-02-04,60,57.0,,0.57,34.199999999999996
2017-02-05,60,57.0,,0.57,34.199999999999996
2017-02-06,77,57.0,,0.57,43.88999999999999
2017-02-07,92,57.0,,0.57,52.44
2017-02-08,100,57.0,,0.57,56.99999999999999
2017-02-09,93,57.0,,0.57,53.01
2017-02-10,88,57.0,,0.57,50.16
2017-02-11,64,57.0,,0.57,36.48
2017-02-12,58,57.0,,0.57,33.059999999999995
2017-02-13,90,57.0,,0.57,51.3
2017-02-14,93,57.0,,0.57,53.01
2017-02-15,97,57.0,,0.57,55.28999999999999
2017-02-16,93,57.0,,0.57,53.01
2017-02-17,91,57.0,,0.57,51.87
2017-02-18,57,57.0,,0.57,32.489999999999995
2017-02-19,55,57.0,,0.57,31.349999999999998
2017-02-20,82,57.0,,0.57,46.739999999999995
2017-02-21,98,57.0,,0.57,55.85999999999999
2017-02-22,98,57.0,,0.57,55.85999999999999
2017-02-23,100,57.0,,0.57,56.99999999999999
2017-02-24,84,57.0,,0.57,47.879999999999995
2017-02-25,58,57.0,,0.57,33.059999999999995
2017-02-26,61,57.0,,0.57,34.769999999999996
2017-02-27,88,57.0,,0.57,50.16
2017-02-28,94,57.0,,0.57,53.58
2017-03-01,100,56.0,False,0.56,56.00000000000001
2017-03-02,93,56.0,,0.56,52.080000000000005
2017-03-03,83,56.0,,0.56,46.480000000000004
2017-03-04,52,56.0,,0.56,29.120000000000005
2017-03-05,49,56.0,,0.56,27.44
2017-03-06,88,56.0,,0.56,49.28
2017-03-07,89,56.0,,0.56,49.84
2017-03-08,90,56.0,,0.56,50.400000000000006
2017-03-09,91,56.0,,0.56,50.96000000000001
2017-03-10,86,56.0,,0.56,48.160000000000004
2017-03-11,56,56.0,,0.56,31.360000000000003
2017-03-12,58,56.0,,0.56,32.480000000000004
2017-03-13,85,56.0,,0.56,47.6
2017-03-14,88,56.0,,0.56,49.28
2017-03-15,90,56.0,,0.56,50.400000000000006
2017-03-16,84,56.0,,0.56,47.040000000000006
2017-03-17,86,56.0,,0.56,48.160000000000004
2017-03-18,58,56.0,,0.56,32.480000000000004
2017-03-19,55,56.0,,0.56,30.800000000000004
2017-03-20,86,56.0,,0.56,48.160000000000004
2017-03-21,96,56.0,,0.56,53.760000000000005
2017-03-22,93,56.0,,0.56,52.080000000000005
2017-03-23,94,56.0,,0.56,52.64000000000001
2017-03-24,85,56.0,,0.56,47.6
2017-03-25,49,56.0,,0.56,27.44
2017-03-26,55,56.0,,0.56,30.800000000000004
2017-03-27,90,56.0,,0.56,50.400000000000006
2017-03-28,96,56.0,,0.56,53.760000000000005
2017-03-29,95,56.0,,0.56,53.2
2017-03-30,94,56.0,,0.56,52.64000000000001
2017-03-31,84,56.0,,0.56,47.040000000000006
2017-04-01,55,55.0,False,0.55,30.250000000000004
2017-04-02,57,55.0,,0.55,31.35
2017-04-03,88,55.0,,0.55,48.400000000000006
2017-04-04,92,55.0,,0.55,50.6
2017-04-05,93,55.0,,0.55,51.150000000000006
2017-04-06,93,55.0,,0.55,51.150000000000006
2017-04-07,93,55.0,,0.55,51.150000000000006
2017-04-08,53,55.0,,0.55,29.150000000000002
2017-04-09,53,55.0,,0.55,29.150000000000002
2017-04-10,93,55.0,,0.55,51.150000000000006
2017-04-11,97,55.0,,0.55,53.35
2017-04-12,98,55.0,,0.55,53.900000000000006
2017-04-13,90,55.0,,0.55,49.50000000000001
2017-04-14,81,55.0,,0.55,44.550000000000004
2017-04-15,51,55.0,,0.55,28.05
2017-04-16,56,55.0,,0.55,30.800000000000004
2017-04-17,91,55.0,,0.55,50.050000000000004
2017-04-18,99,55.0,,0.55,54.45
2017-04-19,95,55.0,,0.55,52.25000000000001
2017-04-20,95,55.0,,0.55,52.25000000000001
2017-04-21,90,55.0,,0.55,49.50000000000001
2017-04-22,53,55.0,,0.55,29.150000000000002
2017-04-23,57,55.0,,0.55,31.35
2017-04-24,88,55.0,,0.55,48.400000000000006
2017-04-25,95,55.0,,0.55,52.25000000000001
2017-04-26,100,55.0,,0.55,55.00000000000001
2017-04-27,100,55.0,,0.55,55.00000000000001
2017-04-28,83,55.0,,0.55,45.650000000000006
2017-04-29,57,55.0,,0.55,31.35
2017-04-30,53,55.0,,0.55,29.150000000000002
2017-05-01,87,51.0,False,0.51,44.37
2017-05-02,94,51.0,,0.51,47.94
2017-05-03,100,51.0,,0.51,51.0
2017-05-04,89,51.0,,0.51,45.39
2017-05-05,85,51.0,,0.51,43.35
2017-05-06,53,51.0,,0.51,27.03
2017-05-07,52,51.0,,0.51,26.52
2017-05-08,82,51.0,,0.51,41.82
2017-05-09,97,51.0,,0.51,49.47
2017-05-10,94,51.0,,0.51,47.94
2017-05-11,82,51.0,,0.51,41.82
2017-05-12,92,51.0,,0.51,46.92
2017-05-13,45,51.0,,0.51,22.95
2017-05-14,51,51.0,,0.51,26.01
2017-05-15,81,51.0,,0.51,41.31
2017-05-16,90,51.0,,0.51,45.9
2017-05-17,85,51.0,,0.51,43.35
2017-05-18,91,51.0,,0.51,46.410000000000004
2017-05-19,75,51.0,,0.51,38.25
2017-05-20,50,51.0,,0.51,25.5
2017-05-21,50,51.0,,0.51,25.5
2017-05-22,78,51.0,,0.51,39.78
2017-05-23,88,51.0,,0.51,44.88
2017-05-24,86,51.0,,0.51,43.86
2017-05-25,87,51.0,,0.51,44.37
2017-05-26,79,51.0,,0.51,40.29
2017-05-27,54,51.0,,0.51,27.54
2017-05-28,50,51.0,,0.51,25.5
2017-05-29,52,51.0,,0.51,26.52
2017-05-30,84,51.0,,0.51,42.84
2017-05-31,92,51.0,,0.51,46.92
2017-06-01,81,52.0,False,0.52,42.120000000000005
2017-06-02,84,52.0,,0.52,43.68
2017-06-03,55,52.0,,0.52,28.6
2017-06-04,45,52.0,,0.52,23.400000000000002
2017-06-05,79,52.0,,0.52,41.08
2017-06-06,93,52.0,,0.52,48.36
2017-06-07,96,52.0,,0.52,49.92
2017-06-08,88,52.0,,0.52,45.760000000000005
2017-06-09,83,52.0,,0.52,43.160000000000004
2017-06-10,49,52.0,,0.52,25.48
2017-06-11,49,52.0,,0.52,25.48
2017-06-12,83,52.0,,0.52,43.160000000000004
2017-06-13,93,52.0,,0.52,48.36
2017-06-14,97,52.0,,0.52,50.440000000000005
2017-06-15,100,52.0,,0.52,52.0
2017-06-16,74,52.0,,0.52,38.480000000000004
2017-06-17,46,52.0,,0.52,23.92
2017-06-18,45,52.0,,0.52,23.400000000000002
2017-06-19,79,52.0,,0.52,41.08
2017-06-20,96,52.0,,0.52,49.92
2017-06-21,87,52.0,,0.52,45.24
2017-06-22,94,52.0,,0.52,48.88
2017-06-23,87,52.0,,0.52,45.24
2017-06-24,46,52.0,,0.52,23.92
2017-06-25,47,52.0,,0.52,24.44
2017-06-26,88,52.0,,0.52,45.760000000000005
2017-06-27,93,52.0,,0.52,48.36
2017-06-28,89,52.0,,0.52,46.28
2017-06-29,86,52.0,,0.52,44.72
2017-06-30,77,52.0,,0.52,40.04
2017-07-01,43,52.0,False,0.52,22.36
2017-07-02,48,52.0,,0.52,24.96
2017-07-03,69,52.0,,0.52,35.88
2017-07-04,54,52.0,,0.52,28.080000000000002
2017-07-05,81,52.0,,0.52,42.120000000000005
2017-07-06,91,52.0,,0.52,47.32
2017-07-07,90,52.0,,0.52,46.800000000000004
2017-07-08,53,52.0,,0.52,27.560000000000002
2017-07-09,48,52.0,,0.52,24.96
2017-07-10,86,52.0,,0.52,44.72
2017-07-11,95,52.0,,0.52,49.4
2017-07-12,93,52.0,,0.52,48.36
2017-07-13,100,52.0,,0.52,52.0
2017-07-14,83,52.0,,0.52,43.160000000000004
2017-07-15,55,52.0,,0.52,28.6
2017-07-16,50,52.0,,0.52,26.0
2017-07-17,88,52.0,,0.52,45.760000000000005
2017-07-18,94,52.0,,0.52,48.88
2017-07-19,90,52.0,,0.52,46.800000000000004
2017-07-20,96,52.0,,0.52,49.92
2017-07-21,87,52.0,,0.52,45.24
2017-07-22,51,52.0,,0.52,26.52
2017-07-23,45,52.0,,0.52,23.400000000000002
2017-07-24,90,52.0,,0.52,46.800000000000004
2017-07-25,95,52.0,,0.52,49.4
2017-07-26,96,52.0,,0.52,49.92
2017-07-27,96,52.0,,0.52,49.92
2017-07-28,90,52.0,,0.52,46.800000000000004
2017-07-29,52,52.0,,0.52,27.04
2017-07-30,43,52.0,,0.52,22.36
2017-07-31,92,52.0,,0.52,47.84
2017-08-01,84,52.0,False,0.52,43.68
2017-08-02,96,52.0,,0.52,49.92
2017-08-03,87,52.0,,0.52,45.24
2017-08-04,73,52.0,,0.52,37.96
2017-08-05,49,52.0,,0.52,25.48
2017-08-06,51,52.0,,0.52,26.52
2017-08-07,85,52.0,,0.52,44.2
2017-08-08,89,52.0,,0.52,46.28
2017-08-09,92,52.0,,0.52,47.84
2017-08-10,82,52.0,,0.52,42.64
2017-08-11,78,52.0,,0.52,40.56
2017-08-12,47,52.0,,0.52,24.44
2017-08-13,50,52.0,,0.52,26.0
2017-08-14,93,52.0,,0.52,48.36
2017-08-15,93,52.0,,0.52,48.36
2017-08-16,100,52.0,,0.52,52.0
2017-08-17,92,52.0,,0.52,47.84
2017-08-18,79,52.0,,0.52,41.08
2017-08-19,46,52.0,,0.52,23.92
2017-08-20,43,52.0,,0.52,22.36
2017-08-21,74,52.0,,0.52,38.480000000000004
2017-08-22,88,52.0,,0.52,45.760000000000005
2017-08-23,95,52.0,,0.52,49.4
2017-08-24,83,52.0,,0.52,43.160000000000004
2017-08-25,83,52.0,,0.52,43.160000000000004
2017-08-26,43,52.0,,0.52,22.36
2017-08-27,46,52.0,,0.52,23.92
2017-08-28,74,52.0,,0.52,38.480000000000004
2017-08-29,93,52.0,,0.52,48.36
2017-08-30,90,52.0,,0.52,46.800000000000004
2017-08-31,93,52.0,,0.52,48.36
2017-09-01,82,51.0,False,0.51,41.82
2017-09-02,48,51.0,,0.51,24.48
2017-09-03,51,51.0,,0.51,26.01
2017-09-04,50,51.0,,0.51,25.5
2017-09-05,82,51.0,,0.51,41.82
2017-09-06,88,51.0,,0.51,44.88
2017-09-07,93,51.0,,0.51,47.43
2017-09-08,88,51.0,,0.51,44.88
2017-09-09,52,51.0,,0.51,26.52
2017-09-10,50,51.0,,0.51,25.5
2017-09-11,86,51.0,,0.51,43.86
2017-09-12,93,51.0,,0.51,47.43
2017-09-13,98,51.0,,0.51,49.980000000000004
2017-09-14,95,51.0,,0.51,48.45
2017-09-15,83,51.0,,0.51,42.33
2017-09-16,50,51.0,,0.51,25.5
2017-09-17,51,51.0,,0.51,26.01
2017-09-18,87,51.0,,0.51,44.37
2017-09-19,95,51.0,,0.51,48.45
2017-09-20,100,51.0,,0.51,51.0
2017-09-21,95,51.0,,0.51,48.45
2017-09-22,87,51.0,,0.51,44.37
2017-09-23,54,51.0,,0.51,27.54
2017-09-24,51,51.0,,0.51,26.01
2017-09-25,88,51.0,,0.51,44.88
2017-09-26,100,51.0,,0.51,51.0
2017-09-27,94,51.0,,0.51,47.94
2017-09-28,97,51.0,,0.51,49.47
2017-09-29,83,51.0,,0.51,42.33
2017-09-30,52,51.0,,0.51,26.52
2017-10-01,50,53.0,False,0.53,26.5
2017-10-02,85,53.0,,0.53,45.050000000000004
2017-10-03,90,53.0,,0.53,47.7
2017-10-04,100,53.0,,0.53,53.0
2017-10-05,91,53.0,,0.53,48.230000000000004
2017-10-06,87,53.0,,0.53,46.11
2017-10-07,56,53.0,,0.53,29.68
2017-10-08,49,53.0,,0.53,25.970000000000002
2017-10-09,86,53.0,,0.53,45.580000000000005
2017-10-10,97,53.0,,0.53,51.410000000000004
2017-10-11,98,53.0,,0.53,51.940000000000005
2017-10-12,92,53.0,,0.53,48.760000000000005
2017-10-13,87,53.0,,0.53,46.11
2017-10-14,50,53.0,,0.53,26.5
2017-10-15,53,53.0,,0.53,28.09
2017-10-16,88,53.0,,0.53,46.64
2017-10-17,91,53.0,,0.53,48.230000000000004
2017-10-18,90,53.0,,0.53,47.7
2017-10-19,87,53.0,,0.53,46.11
2017-10-20,85,53.0,,0.53,45.050000000000004
2017-10-21,41,53.0,,0.53,21.73
2017-10-22,51,53.0,,0.53,27.03
2017-10-23,83,53.0,,0.53,43.99
2017-10-24,88,53.0,,0.53,46.64
2017-10-25,99,53.0,,0.53,52.470000000000006
2017-10-26,96,53.0,,0.53,50.88
2017-10-27,85,53.0,,0.53,45.050000000000004
2017-10-28,43,53.0,,0.53,22.790000000000003
2017-10-29,47,53.0,,0.53,24.91
2017-10-30,89,53.0,,0.53,47.17
2017-10-31,98,53.0,,0.53,51.940000000000005
2017-11-01,92,51.0,False,0.51,46.92
2017-11-02,93,51.0,,0.51,47.43
2017-11-03,84,51.0,,0.51,42.84
2017-11-04,55,51.0,,0.51,28.05
2017-11-05,48,51.0,,0.51,24.48
2017-11-06,81,51.0,,0.51,41.31
2017-11-07,90,51.0,,0.51,45.9
2017-11-08,96,51.0,,0.51,48.96
2017-11-09,97,51.0,,0.51,49.47
2017-11-10,89,51.0,,0.51,45.39
2017-11-11,51,51.0,,0.51,26.01
2017-11-12,52,51.0,,0.51,26.52
2017-11-13,87,51.0,,0.51,44.37
2017-11-14,91,51.0,,0.51,46.410000000000004
2017-11-15,90,51.0,,0.51,45.9
2017-11-16,96,51.0,,0.51,48.96
2017-11-17,85,51.0,,0.51,43.35
2017-11-18,53,51.0,,0.51,27.03
2017-11-19,53,51.0,,0.51,27.03
2017-11-20,84,51.0,,0.51,42.84
2017-11-21,95,51.0,,0.51,48.45
2017-11-22,83,51.0,,0.51,42.33
2017-11-23,46,51.0,,0.51,23.46
2017-11-24,51,51.0,,0.51,26.01
2017-11-25,53,51.0,,0.51,27.03
2017-11-26,54,51.0,,0.51,27.54
2017-11-27,77,51.0,,0.51,39.27
2017-11-28,87,51.0,,0.51,44.37
2017-11-29,100,51.0,,0.51,51.0
2017-11-30,97,51.0,,0.51,49.47
2017-12-01,97,48.0,False,0.48,46.559999999999995
2017-12-02,63,48.0,,0.48,30.24
2017-12-03,53,48.0,,0.48,25.439999999999998
2017-12-04,85,48.0,,0.48,40.8
2017-12-05,94,48.0,,0.48,45.12
2017-12-06,99,48.0,,0.48,47.519999999999996
2017-12-07,92,48.0,,0.48,44.16
2017-12-08,85,48.0,,0.48,40.8
2017-12-09,57,48.0,,0.48,27.36
2017-12-10,56,48.0,,0.48,26.88
2017-12-11,97,48.0,,0.48,46.559999999999995
2017-12-12,100,48.0,,0.48,48.0
2017-12-13,89,48.0,,0.48,42.72
2017-12-14,94,48.0,,0.48,45.12
2017-12-15,76,48.0,,0.48,36.48
2017-12-16,56,48.0,,0.48,26.88
2017-12-17,56,48.0,,0.48,26.88
2017-12-18,85,48.0,,0.48,40.8
2017-12-19,84,48.0,,0.48,40.32
2017-12-20,92,48.0,,0.48,44.16
2017-12-21,83,48.0,,0.48,39.839999999999996
2017-12-22,70,48.0,,0.48,33.6
2017-12-23,53,48.0,,0.48,25.439999999999998
2017-12-24,51,48.0,,0.48,24.48
2017-12-25,55,48.0,,0.48,26.4
2017-12-26,69,48.0,,0.48,33.12
2017-12-27,82,48.0,,0.48,39.36
2017-12-28,69,48.0,,0.48,33.12
2017-12-29,77,48.0,,0.48,36.96
2017-12-30,51,48.0,,0.48,24.48
2017-12-31,54,48.0,,0.48,25.919999999999998
2018-01-01,44,52.0,False,0.52,22.880000000000003
2018-01-02,77,52.0,,0.52,40.04
2018-01-03,83,52.0,,0.52,43.160000000000004
2018-01-04,93,52.0,,0.52,48.36
2018-01-05,87,52.0,,0.52,45.24
2018-01-06,58,52.0,,0.52,30.16
2018-01-07,50,52.0,,0.52,26.0
2018-01-08,81,52.0,,0.52,42.120000000000005
2018-01-09,92,52.0,,0.52,47.84
2018-01-10,100,52.0,,0.52,52.0
2018-01-11,90,52.0,,0.52,46.800000000000004
2018-01-12,79,52.0,,0.52,41.08
2018-01-13,52,52.0,,0.52,27.04
2018-01-14,51,52.0,,0.52,26.52
2018-01-15,70,52.0,,0.52,36.4
2018-01-16,91,52.0,,0.52,47.32
2018-01-17,81,52.0,,0.52,42.120000000000005
2018-01-18,94,52.0,,0.52,48.88
2018-01-19,88,52.0,,0.52,45.760000000000005
2018-01-20,53,52.0,,0.52,27.560000000000002
2018-01-21,50,52.0,,0.52,26.0
2018-01-22,96,52.0,,0.52,49.92
2018-01-23,92,52.0,,0.52,47.84
2018-01-24,92,52.0,,0.52,47.84
2018-01-25,96,52.0,,0.52,49.92
2018-01-26,93,52.0,,0.52,48.36
2018-01-27,59,52.0,,0.52,30.68
2018-01-28,56,52.0,,0.52,29.12
2018-01-29,81,52.0,,0.52,42.120000000000005
2018-01-30,91,52.0,,0.52,47.32
2018-01-31,90,52.0,,0.52,46.800000000000004
2018-02-01,91,51.0,False,0.51,46.410000000000004
2018-02-02,83,51.0,,0.51,42.33
2018-02-03,55,51.0,,0.51,28.05
2018-02-04,48,51.0,,0.51,24.48
2018-02-05,77,51.0,,0.51,39.27
2018-02-06,98,51.0,,0.51,49.980000000000004
2018-02-07,88,51.0,,0.51,44.88
2018-02-08,92,51.0,,0.51,46.92
2018-02-09,79,51.0,,0.51,40.29
2018-02-10,47,51.0,,0.51,23.97
2018-02-11,52,51.0,,0.51,26.52
2018-02-12,89,51.0,,0.51,45.39
2018-02-13,100,51.0,,0.51,51.0
2018-02-14,83,51.0,,0.51,42.33
2018-02-15,91,51.0,,0.51,46.410000000000004
2018-02-16,83,51.0,,0.51,42.33
2018-02-17,52,51.0,,0.51,26.52
2018-02-18,51,51.0,,0.51,26.01
2018-02-19,71,51.0,,0.51,36.21
2018-02-20,83,51.0,,0.51,42.33
2018-02-21,88,51.0,,0.51,44.88
2018-02-22,89,51.0,,0.51,45.39
2018-02-23,86,51.0,,0.51,43.86
2018-02-24,51,51.0,,0.51,26.01
2018-02-25,48,51.0,,0.51,24.48
2018-02-26,82,51.0,,0.51,41.82
2018-02-27,88,51.0,,0.51,44.88
2018-02-28,91,51.0,,0.51,46.410000000000004
2018-03-01,95,51.0,False,0.51,48.45
2018-03-02,80,51.0,,0.51,40.8
2018-03-03,53,51.0,,0.51,27.03
2018-03-04,54,51.0,,0.51,27.54
2018-03-05,93,51.0,,0.51,47.43
2018-03-06,92,51.0,,0.51,46.92
2018-03-07,92,51.0,,0.51,46.92
2018-03-08,94,51.0,,0.51,47.94
2018-03-09,94,51.0,,0.51,47.94
2018-03-10,44,51.0,,0.51,22.44
2018-03-11,54,51.0,,0.51,27.54
2018-03-12,88,51.0,,0.51,44.88
2018-03-13,91,51.0,,0.51,46.410000000000004
2018-03-14,83,51.0,,0.51,42.33
2018-03-15,83,51.0,,0.51,42.33
2018-03-16,89,51.0,,0.51,45.39
2018-03-17,52,51.0,,0.51,26.52
2018-03-18,46,51.0,,0.51,23.46
2018-03-19,89,51.0,,0.51,45.39
2018-03-20,95,51.0,,0.51,48.45
2018-03-21,84,51.0,,0.51,42.84
2018-03-22,90,51.0,,0.51,45.9
2018-03-23,87,51.0,,0.51,44.37
2018-03-24,43,51.0,,0.51,21.93
2018-03-25,45,51.0,,0.51,22.95
2018-03-26,100,51.0,,0.51,51.0
2018-03-27,89,51.0,,0.51,45.39
2018-03-28,91,51.0,,0.51,46.410000000000004
2018-03-29,92,51.0,,0.51,46.92
2018-03-30,72,51.0,,0.51,36.72
2018-03-31,50,51.0,,0.51,25.5
2018-04-01,52,52.0,False,0.52,27.04
2018-04-02,92,52.0,,0.52,47.84
2018-04-03,90,52.0,,0.52,46.800000000000004
2018-04-04,99,52.0,,0.52,51.480000000000004
2018-04-05,100,52.0,,0.52,52.0
2018-04-06,86,52.0,,0.52,44.72
2018-04-07,52,52.0,,0.52,27.04
2018-04-08,48,52.0,,0.52,24.96
2018-04-09,93,52.0,,0.52,48.36
2018-04-10,92,52.0,,0.52,47.84
2018-04-11,92,52.0,,0.52,47.84
2018-04-12,94,52.0,,0.52,48.88
2018-04-13,81,52.0,,0.52,42.120000000000005
2018-04-14,52,52.0,,0.52,27.04
2018-04-15,52,52.0,,0.52,27.04
2018-04-16,89,52.0,,0.52,46.28
2018-04-17,94,52.0,,0.52,48.88
2018-04-18,92,52.0,,0.52,47.84
2018-04-19,92,52.0,,0.52,47.84
2018-04-20,87,52.0,,0.52,45.24
2018-04-21,49,52.0,,0.52,25.48
2018-04-22,51,52.0,,0.52,26.52
2018-04-23,88,52.0,,0.52,45.760000000000005
2018-04-24,84,52.0,,0.52,43.68
2018-04-25,82,52.0,,0.52,42.64
2018-04-26,97,52.0,,0.52,50.440000000000005
2018-04-27,82,52.0,,0.52,42.64
2018-04-28,48,52.0,,0.52,24.96
2018-04-29,55,52.0,,0.52,28.6
2018-04-30,83,52.0,,0.52,43.160000000000004
2018-05-01,85,50.0,False,0.5,42.5
2018-05-02,89,50.0,,0.5,44.5
2018-05-03,86,50.0,,0.5,43.0
2018-05-04,81,50.0,,0.5,40.5
2018-05-05,50,50.0,,0.5,25.0
2018-05-06,47,50.0,,0.5,23.5
2018-05-07,86,50.0,,0.5,43.0
2018-05-08,91,50.0,,0.5,45.5
2018-05-09,100,50.0,,0.5,50.0
2018-05-10,95,50.0,,0.5,47.5
2018-05-11,84,50.0,,0.5,42.0
2018-05-12,50,50.0,,0.5,25.0
2018-05-13,52,50.0,,0.5,26.0
2018-05-14,90,50.0,,0.5,45.0
2018-05-15,93,50.0,,0.5,46.5
2018-05-16,90,50.0,,0.5,45.0
2018-05-17,91,50.0,,0.5,45.5
2018-05-18,86,50.0,,0.5,43.0
2018-05-19,47,50.0,,0.5,23.5
2018-05-20,48,50.0,,0.5,24.0
2018-05-21,91,50.0,,0.5,45.5
2018-05-22,88,50.0,,0.5,44.0
2018-05-23,93,50.0,,0.5,46.5
2018-05-24,85,50.0,,0.5,42.5
2018-05-25,80,50.0,,0.5,40.0
2018-05-26,45,50.0,,0.5,22.5
2018-05-27,50,50.0,,0.5,25.0
2018-05-28,52,50.0,,0.5,26.0
2018-05-29,92,50.0,,0.5,46.0
2018-05-30,87,50.0,,0.5,43.5
2018-05-31,95,50.0,,0.5,47.5
2018-06-01,90,52.0,False,0.52,46.800000000000004
2018-06-02,56,52.0,,0.52,29.12
2018-06-03,47,52.0,,0.52,24.44
2018-06-04,94,52.0,,0.52,48.88
2018-06-05,98,52.0,,0.52,50.96
2018-06-06,97,52.0,,0.52,50.440000000000005
2018-06-07,99,52.0,,0.52,51.480000000000004
2018-06-08,78,52.0,,0.52,40.56
2018-06-09,48,52.0,,0.52,24.96
2018-06-10,47,52.0,,0.52,24.44
2018-06-11,87,52.0,,0.52,45.24
