date,housing_unscaled,housing_monthly,isPartial,scale,housing
2020-09-05,70,74.0,,0.74,51.8
2020-09-06,66,74.0,,0.74,48.839999999999996
2020-09-07,77,74.0,,0.74,56.98
2020-09-08,97,74.0,,0.74,71.78
2020-09-09,92,74.0,,0.74,68.08
2020-09-10,95,74.0,,0.74,70.3
2020-09-11,83,74.0,,0.74,61.42
2020-09-12,68,74.0,,0.74,50.32
2020-09-13,66,74.0,,0.74,48.839999999999996
2020-09-14,92,74.0,,0.74,68.08
2020-09-15,92,74.0,,0.74,68.08
2020-09-16,87,74.0,,0.74,64.38
2020-09-17,85,74.0,,0.74,62.9
2020-09-18,82,74.0,,0.74,60.68
2020-09-19,60,74.0,,0.74,44.4
2020-09-20,62,74.0,,0.74,45.88
2020-09-21,91,74.0,,0.74,67.34
2020-09-22,89,74.0,,0.74,65.86
2020-09-23,88,74.0,,0.74,65.12
2020-09-24,87,74.0,,0.74,64.38
2020-09-25,84,74.0,,0.74,62.16
2020-09-26,64,74.0,,0.74,47.36
2020-09-27,68,74.0,,0.74,50.32
2020-09-28,93,74.0,,0.74,68.82
2020-09-29,93,74.0,,0.74,68.82
2020-09-30,88,74.0,,0.74,65.12
2020-10-01,87,74.0,False,0.74,64.38
2020-10-02,76,74.0,,0.74,56.24
2020-10-03,61,74.0,,0.74,45.14
2020-10-04,61,74.0,,0.74,45.14
2020-10-05,94,74.0,,0.74,69.56
2020-10-06,87,74.0,,0.74,64.38
2020-10-07,89,74.0,,0.74,65.86
2020-10-08,83,74.0,,0.74,61.42
2020-10-09,85,74.0,,0.74,62.9
2020-10-10,62,74.0,,0.74,45.88
2020-10-11,58,74.0,,0.74,42.92
2020-10-12,86,74.0,,0.74,63.64
2020-10-13,97,74.0,,0.74,71.78
2020-10-14,94,74.0,,0.74,69.56
2020-10-15,90,74.0,,0.74,66.6
2020-10-16,83,74.0,,0.74,61.42
2020-10-17,63,74.0,,0.74,46.62
2020-10-18,65,74.0,,0.74,48.1
2020-10-19,100,74.0,,0.74,74.0
2020-10-20,95,74.0,,0.74,70.3
2020-10-21,99,74.0,,0.74,73.26
2020-10-22,95,74.0,,0.74,70.3
2020-10-23,84,74.0,,0.74,62.16
2020-10-24,58,74.0,,0.74,42.92
2020-10-25,60,74.0,,0.74,44.4
2020-10-26,95,74.0,,0.74,70.3
2020-10-27,94,74.0,,0.74,69.56
2020-10-28,90,74.0,,0.74,66.6
2020-10-29,88,74.0,,0.74,65.12
2020-10-30,82,74.0,,0.74,60.68
2020-10-31,58,74.0,,0.74,42.92
2020-11-01,62,65.0,True,0.65,40.300000000000004
2020-11-02,97,65.0,,0.65,63.050000000000004
2020-11-03,90,65.0,,0.65,58.5
2020-11-04,60,65.0,,0.65,39.0
2020-11-05,73,65.0,,0.65,47.45
2020-11-06,71,65.0,,0.65,46.15
2020-11-07,57,65.0,,0.65,37.050000000000004
2020-11-08,61,65.0,,0.65,39.65
2020-11-09,97,65.0,,0.65,63.050000000000004
2020-11-10,89,65.0,,0.65,57.85
2020-11-11,88,65.0,,0.65,57.2
2020-11-12,88,65.0,,0.65,57.2
2020-11-13,87,65.0,,0.65,56.550000000000004
2020-11-14,66,65.0,,0.65,42.9
2020-11-15,66,65.0,,0.65,42.9
2020-11-16,100,65.0,,0.65,65.0
2020-11-17,100,65.0,,0.65,65.0
2020-11-18,93,65.0,,0.65,60.45
2020-11-19,90,65.0,,0.65,58.5
2020-11-20,83,65.0,,0.65,53.95
2020-11-21,66,65.0,,0.65,42.9
2020-11-22,62,65.0,,0.65,40.300000000000004
2020-11-23,88,65.0,,0.65,57.2
2020-11-24,84,65.0,,0.65,54.6
2020-11-25,75,65.0,,0.65,48.75
2020-11-26,45,65.0,,0.65,29.25
2020-11-27,56,65.0,,0.65,36.4
2020-11-28,59,65.0,,0.65,38.35
2020-11-29,56,65.0,,0.65,36.4
