date,debt_unscaled,debt_monthly,isPartial,scale,debt
2010-05-16,41,45.0,,0.45,18.45
2010-05-17,66,45.0,,0.45,29.7
2010-05-18,66,45.0,,0.45,29.7
2010-05-19,58,45.0,,0.45,26.1
2010-05-20,65,45.0,,0.45,29.25
2010-05-21,71,45.0,,0.45,31.95
2010-05-22,50,45.0,,0.45,22.5
2010-05-23,40,45.0,,0.45,18.0
2010-05-24,56,45.0,,0.45,25.2
2010-05-25,52,45.0,,0.45,23.400000000000002
2010-05-26,66,45.0,,0.45,29.7
2010-05-27,66,45.0,,0.45,29.7
2010-05-28,43,45.0,,0.45,19.35
2010-05-29,40,45.0,,0.45,18.0
2010-05-30,37,45.0,,0.45,16.650000000000002
2010-05-31,44,45.0,,0.45,19.8
2010-06-01,78,44.0,False,0.44,34.32
2010-06-02,87,44.0,,0.44,38.28
2010-06-03,80,44.0,,0.44,35.2
2010-06-04,75,44.0,,0.44,33.0
2010-06-05,48,44.0,,0.44,21.12
2010-06-06,60,44.0,,0.44,26.4
2010-06-07,92,44.0,,0.44,40.48
2010-06-08,84,44.0,,0.44,36.96
2010-06-09,92,44.0,,0.44,40.48
2010-06-10,75,44.0,,0.44,33.0
2010-06-11,75,44.0,,0.44,33.0
2010-06-12,58,44.0,,0.44,25.52
2010-06-13,56,44.0,,0.44,24.64
2010-06-14,75,44.0,,0.44,33.0
2010-06-15,83,44.0,,0.44,36.52
2010-06-16,100,44.0,,0.44,44.0
2010-06-17,78,44.0,,0.44,34.32
2010-06-18,72,44.0,,0.44,31.68
2010-06-19,64,44.0,,0.44,28.16
2010-06-20,55,44.0,,0.44,24.2
2010-06-21,76,44.0,,0.44,33.44
2010-06-22,84,44.0,,0.44,36.96
2010-06-23,95,44.0,,0.44,41.8
2010-06-24,78,44.0,,0.44,34.32
2010-06-25,82,44.0,,0.44,36.08
2010-06-26,60,44.0,,0.44,26.4
2010-06-27,48,44.0,,0.44,21.12
2010-06-28,76,44.0,,0.44,33.44
2010-06-29,87,44.0,,0.44,38.28
2010-06-30,79,44.0,,0.44,34.76
2010-07-01,84,40.0,False,0.4,33.6
2010-07-02,70,40.0,,0.4,28.0
2010-07-03,42,40.0,,0.4,16.8
2010-07-04,46,40.0,,0.4,18.400000000000002
2010-07-05,59,40.0,,0.4,23.6
2010-07-06,75,40.0,,0.4,30.0
2010-07-07,79,40.0,,0.4,31.6
2010-07-08,70,40.0,,0.4,28.0
2010-07-09,70,40.0,,0.4,28.0
2010-07-10,61,40.0,,0.4,24.400000000000002
2010-07-11,43,40.0,,0.4,17.2
2010-07-12,69,40.0,,0.4,27.6
2010-07-13,100,40.0,,0.4,40.0
2010-07-14,70,40.0,,0.4,28.0
2010-07-15,81,40.0,,0.4,32.4
2010-07-16,75,40.0,,0.4,30.0
2010-07-17,53,40.0,,0.4,21.200000000000003
2010-07-18,54,40.0,,0.4,21.6
2010-07-19,85,40.0,,0.4,34.0
2010-07-20,93,40.0,,0.4,37.2
2010-07-21,81,40.0,,0.4,32.4
2010-07-22,75,40.0,,0.4,30.0
2010-07-23,72,40.0,,0.4,28.8
2010-07-24,46,40.0,,0.4,18.400000000000002
2010-07-25,52,40.0,,0.4,20.8
2010-07-26,73,40.0,,0.4,29.200000000000003
2010-07-27,80,40.0,,0.4,32.0
2010-07-28,72,40.0,,0.4,28.8
2010-07-29,70,40.0,,0.4,28.0
2010-07-30,70,40.0,,0.4,28.0
2010-07-31,52,40.0,,0.4,20.8
2010-08-01,70,39.0,False,0.39,27.3
2010-08-02,85,39.0,,0.39,33.15
2010-08-03,86,39.0,,0.39,33.54
2010-08-04,84,39.0,,0.39,32.76
2010-08-05,76,39.0,,0.39,29.64
2010-08-06,78,39.0,,0.39,30.42
2010-08-07,54,39.0,,0.39,21.060000000000002
2010-08-08,50,39.0,,0.39,19.5
2010-08-09,95,39.0,,0.39,37.050000000000004
2010-08-10,97,39.0,,0.39,37.83
2010-08-11,97,39.0,,0.39,37.83
2010-08-12,86,39.0,,0.39,33.54
2010-08-13,62,39.0,,0.39,24.18
2010-08-14,62,39.0,,0.39,24.18
2010-08-15,57,39.0,,0.39,22.23
2010-08-16,85,39.0,,0.39,33.15
2010-08-17,90,39.0,,0.39,35.1
2010-08-18,96,39.0,,0.39,37.44
2010-08-19,87,39.0,,0.39,33.93
2010-08-20,88,39.0,,0.39,34.32
2010-08-21,64,39.0,,0.39,24.96
2010-08-22,61,39.0,,0.39,23.79
2010-08-23,86,39.0,,0.39,33.54
2010-08-24,84,39.0,,0.39,32.76
2010-08-25,100,39.0,,0.39,39.0
2010-08-26,90,39.0,,0.39,35.1
2010-08-27,76,39.0,,0.39,29.64
2010-08-28,59,39.0,,0.39,23.01
2010-08-29,60,39.0,,0.39,23.400000000000002
2010-08-30,87,39.0,,0.39,33.93
2010-08-31,88,39.0,,0.39,34.32
2010-09-01,85,38.0,False,0.38,32.3
2010-09-02,72,38.0,,0.38,27.36
2010-09-03,75,38.0,,0.38,28.5
2010-09-04,48,38.0,,0.38,18.240000000000002
