date,economy_unscaled,economy_monthly,isPartial,scale,economy
2014-07-05,59,42.0,,0.42,24.779999999999998
2014-07-06,75,42.0,,0.42,31.5
2014-07-07,72,42.0,,0.42,30.24
2014-07-08,86,42.0,,0.42,36.12
2014-07-09,85,42.0,,0.42,35.699999999999996
2014-07-10,89,42.0,,0.42,37.379999999999995
2014-07-11,87,42.0,,0.42,36.54
2014-07-12,61,42.0,,0.42,25.619999999999997
2014-07-13,81,42.0,,0.42,34.019999999999996
2014-07-14,72,42.0,,0.42,30.24
2014-07-15,93,42.0,,0.42,39.059999999999995
2014-07-16,100,42.0,,0.42,42.0
2014-07-17,76,42.0,,0.42,31.919999999999998
2014-07-18,69,42.0,,0.42,28.98
2014-07-19,66,42.0,,0.42,27.72
2014-07-20,65,42.0,,0.42,27.3
2014-07-21,88,42.0,,0.42,36.96
2014-07-22,95,42.0,,0.42,39.9
2014-07-23,88,42.0,,0.42,36.96
2014-07-24,90,42.0,,0.42,37.8
2014-07-25,79,42.0,,0.42,33.18
2014-07-26,79,42.0,,0.42,33.18
2014-07-27,92,42.0,,0.42,38.64
2014-07-28,79,42.0,,0.42,33.18
2014-07-29,77,42.0,,0.42,32.339999999999996
2014-07-30,92,42.0,,0.42,38.64
2014-07-31,92,42.0,,0.42,38.64
2014-08-01,58,44.0,False,0.44,25.52
2014-08-02,58,44.0,,0.44,25.52
2014-08-03,61,44.0,,0.44,26.84
2014-08-04,62,44.0,,0.44,27.28
2014-08-05,63,44.0,,0.44,27.72
2014-08-06,71,44.0,,0.44,31.24
2014-08-07,65,44.0,,0.44,28.6
2014-08-08,58,44.0,,0.44,25.52
2014-08-09,46,44.0,,0.44,20.24
2014-08-10,59,44.0,,0.44,25.96
2014-08-11,61,44.0,,0.44,26.84
2014-08-12,65,44.0,,0.44,28.6
2014-08-13,60,44.0,,0.44,26.4
2014-08-14,68,44.0,,0.44,29.92
2014-08-15,64,44.0,,0.44,28.16
2014-08-16,42,44.0,,0.44,18.48
2014-08-17,47,44.0,,0.44,20.68
2014-08-18,60,44.0,,0.44,26.4
2014-08-19,68,44.0,,0.44,29.92
2014-08-20,68,44.0,,0.44,29.92
2014-08-21,80,44.0,,0.44,35.2
2014-08-22,64,44.0,,0.44,28.16
2014-08-23,61,44.0,,0.44,26.84
2014-08-24,67,44.0,,0.44,29.48
2014-08-25,89,44.0,,0.44,39.160000000000004
2014-08-26,85,44.0,,0.44,37.4
2014-08-27,94,44.0,,0.44,41.36
2014-08-28,97,44.0,,0.44,42.68
2014-08-29,100,44.0,,0.44,44.0
2014-08-30,53,44.0,,0.44,23.32
2014-08-31,55,44.0,,0.44,24.2
2014-09-01,54,68.0,False,0.68,36.720000000000006
2014-09-02,72,68.0,,0.68,48.96
2014-09-03,83,68.0,,0.68,56.440000000000005
2014-09-04,88,68.0,,0.68,59.84
2014-09-05,78,68.0,,0.68,53.040000000000006
2014-09-06,51,68.0,,0.68,34.68
2014-09-07,61,68.0,,0.68,41.480000000000004
2014-09-08,97,68.0,,0.68,65.96000000000001
2014-09-09,88,68.0,,0.68,59.84
2014-09-10,90,68.0,,0.68,61.2
2014-09-11,97,68.0,,0.68,65.96000000000001
2014-09-12,85,68.0,,0.68,57.800000000000004
2014-09-13,50,68.0,,0.68,34.0
2014-09-14,59,68.0,,0.68,40.120000000000005
2014-09-15,92,68.0,,0.68,62.56
2014-09-16,90,68.0,,0.68,61.2
2014-09-17,98,68.0,,0.68,66.64
2014-09-18,90,68.0,,0.68,61.2
2014-09-19,82,68.0,,0.68,55.760000000000005
2014-09-20,48,68.0,,0.68,32.64
2014-09-21,54,68.0,,0.68,36.720000000000006
2014-09-22,84,68.0,,0.68,57.120000000000005
2014-09-23,90,68.0,,0.68,61.2
2014-09-24,93,68.0,,0.68,63.24
2014-09-25,89,68.0,,0.68,60.52
2014-09-26,87,68.0,,0.68,59.160000000000004
2014-09-27,46,68.0,,0.68,31.28
2014-09-28,70,68.0,,0.68,47.6
2014-09-29,80,68.0,,0.68,54.400000000000006
2014-09-30,100,68.0,,0.68,68.0
2014-10-01,97,70.0,False,0.7,67.89999999999999
2014-10-02,91,70.0,,0.7,63.699999999999996
2014-10-03,80,70.0,,0.7,56.0
2014-10-04,48,70.0,,0.7,33.599999999999994
2014-10-05,58,70.0,,0.7,40.599999999999994
2014-10-06,79,70.0,,0.7,55.3
2014-10-07,87,70.0,,0.7,60.9
2014-10-08,89,70.0,,0.7,62.3
2014-10-09,87,70.0,,0.7,60.9
2014-10-10,80,70.0,,0.7,56.0
2014-10-11,44,70.0,,0.7,30.799999999999997
2014-10-12,50,70.0,,0.7,35.0
2014-10-13,75,70.0,,0.7,52.5
2014-10-14,78,70.0,,0.7,54.599999999999994
2014-10-15,74,70.0,,0.7,51.8
2014-10-16,90,70.0,,0.7,62.99999999999999
2014-10-17,82,70.0,,0.7,57.4
2014-10-18,35,70.0,,0.7,24.5
2014-10-19,54,70.0,,0.7,37.8
2014-10-20,90,70.0,,0.7,62.99999999999999
2014-10-21,87,70.0,,0.7,60.9
2014-10-22,89,70.0,,0.7,62.3
2014-10-23,81,70.0,,0.7,56.699999999999996
2014-10-24,84,70.0,,0.7,58.8
2014-10-25,46,70.0,,0.7,32.199999999999996
2014-10-26,54,70.0,,0.7,37.8
2014-10-27,77,70.0,,0.7,53.9
2014-10-28,91,70.0,,0.7,63.699999999999996
2014-10-29,92,70.0,,0.7,64.39999999999999
2014-10-30,100,70.0,,0.7,70.0
2014-10-31,81,70.0,,0.7,56.699999999999996
2014-11-01,51,65.0,False,0.65,33.15
2014-11-02,62,65.0,,0.65,40.300000000000004
2014-11-03,93,65.0,,0.65,60.45
2014-11-04,89,65.0,,0.65,57.85
2014-11-05,93,65.0,,0.65,60.45
2014-11-06,100,65.0,,0.65,65.0
2014-11-07,88,65.0,,0.65,57.2
2014-11-08,58,65.0,,0.65,37.7
2014-11-09,58,65.0,,0.65,37.7
2014-11-10,93,65.0,,0.65,60.45
2014-11-11,83,65.0,,0.65,53.95
2014-11-12,94,65.0,,0.65,61.1
2014-11-13,98,65.0,,0.65,63.7
2014-11-14,80,65.0,,0.65,52.0
2014-11-15,54,65.0,,0.65,35.1
2014-11-16,68,65.0,,0.65,44.2
2014-11-17,96,65.0,,0.65,62.400000000000006
2014-11-18,96,65.0,,0.65,62.400000000000006
2014-11-19,91,65.0,,0.65,59.15
2014-11-20,98,65.0,,0.65,63.7
2014-11-21,88,65.0,,0.65,57.2
2014-11-22,57,65.0,,0.65,37.050000000000004
2014-11-23,64,65.0,,0.65,41.6
2014-11-24,78,65.0,,0.65,50.7
2014-11-25,78,65.0,,0.65,50.7
2014-11-26,53,65.0,,0.65,34.45
2014-11-27,46,65.0,,0.65,29.900000000000002
2014-11-28,44,65.0,,0.65,28.6
2014-11-29,52,65.0,,0.65,33.800000000000004
2014-11-30,69,65.0,,0.65,44.85
2014-12-01,78,63.0,False,0.63,49.14
2014-12-02,90,63.0,,0.63,56.7
2014-12-03,90,63.0,,0.63,56.7
2014-12-04,91,63.0,,0.63,57.33
2014-12-05,85,63.0,,0.63,53.55
2014-12-06,48,63.0,,0.63,30.240000000000002
2014-12-07,57,63.0,,0.63,35.910000000000004
2014-12-08,98,63.0,,0.63,61.74
2014-12-09,100,63.0,,0.63,63.0
2014-12-10,95,63.0,,0.63,59.85
2014-12-11,93,63.0,,0.63,58.59
2014-12-12,72,63.0,,0.63,45.36
2014-12-13,47,63.0,,0.63,29.61
2014-12-14,53,63.0,,0.63,33.39
2014-12-15,79,63.0,,0.63,49.77
2014-12-16,91,63.0,,0.63,57.33
2014-12-17,92,63.0,,0.63,57.96
2014-12-18,82,63.0,,0.63,51.660000000000004
2014-12-19,63,63.0,,0.63,39.69
2014-12-20,44,63.0,,0.63,27.72
2014-12-21,41,63.0,,0.63,25.830000000000002
2014-12-22,44,63.0,,0.63,27.72
2014-12-23,49,63.0,,0.63,30.87
2014-12-24,46,63.0,,0.63,28.98
2014-12-25,32,63.0,,0.63,20.16
2014-12-26,35,63.0,,0.63,22.05
2014-12-27,41,63.0,,0.63,25.830000000000002
2014-12-28,37,63.0,,0.63,23.31
2014-12-29,47,63.0,,0.63,29.61
2014-12-30,45,63.0,,0.63,28.35
2014-12-31,40,63.0,,0.63,25.2
2015-01-01,33,65.0,False,0.65,21.45
2015-01-02,37,65.0,,0.65,24.05
2015-01-03,45,65.0,,0.65,29.25
2015-01-04,46,65.0,,0.65,29.900000000000002
2015-01-05,64,65.0,,0.65,41.6
2015-01-06,70,65.0,,0.65,45.5
2015-01-07,72,65.0,,0.65,46.800000000000004
2015-01-08,69,65.0,,0.65,44.85
2015-01-09,77,65.0,,0.65,50.050000000000004
2015-01-10,50,65.0,,0.65,32.5
2015-01-11,51,65.0,,0.65,33.15
2015-01-12,69,65.0,,0.65,44.85
2015-01-13,76,65.0,,0.65,49.4
2015-01-14,78,65.0,,0.65,50.7
2015-01-15,88,65.0,,0.65,57.2
2015-01-16,78,65.0,,0.65,50.7
2015-01-17,42,65.0,,0.65,27.3
2015-01-18,51,65.0,,0.65,33.15
2015-01-19,60,65.0,,0.65,39.0
2015-01-20,85,65.0,,0.65,55.25
2015-01-21,100,65.0,,0.65,65.0
2015-01-22,87,65.0,,0.65,56.550000000000004
2015-01-23,76,65.0,,0.65,49.4
2015-01-24,42,65.0,,0.65,27.3
2015-01-25,61,65.0,,0.65,39.65
2015-01-26,78,65.0,,0.65,50.7
2015-01-27,88,65.0,,0.65,57.2
2015-01-28,87,65.0,,0.65,56.550000000000004
2015-01-29,91,65.0,,0.65,59.15
2015-01-30,85,65.0,,0.65,55.25
2015-01-31,52,65.0,,0.65,33.800000000000004
2015-02-01,57,69.0,False,0.69,39.33
2015-02-02,77,69.0,,0.69,53.129999999999995
2015-02-03,94,69.0,,0.69,64.86
2015-02-04,97,69.0,,0.69,66.92999999999999
2015-02-05,93,69.0,,0.69,64.17
2015-02-06,90,69.0,,0.69,62.099999999999994
2015-02-07,53,69.0,,0.69,36.57
2015-02-08,58,69.0,,0.69,40.019999999999996
2015-02-09,90,69.0,,0.69,62.099999999999994
2015-02-10,88,69.0,,0.69,60.72
2015-02-11,100,69.0,,0.69,69.0
2015-02-12,93,69.0,,0.69,64.17
2015-02-13,66,69.0,,0.69,45.54
2015-02-14,49,69.0,,0.69,33.809999999999995
2015-02-15,53,69.0,,0.69,36.57
2015-02-16,69,69.0,,0.69,47.61
2015-02-17,89,69.0,,0.69,61.41
2015-02-18,83,69.0,,0.69,57.269999999999996
2015-02-19,84,69.0,,0.69,57.959999999999994
2015-02-20,78,69.0,,0.69,53.81999999999999
2015-02-21,50,69.0,,0.69,34.5
2015-02-22,59,69.0,,0.69,40.709999999999994
2015-02-23,83,69.0,,0.69,57.269999999999996
2015-02-24,97,69.0,,0.69,66.92999999999999
2015-02-25,93,69.0,,0.69,64.17
2015-02-26,88,69.0,,0.69,60.72
2015-02-27,83,69.0,,0.69,57.269999999999996
2015-02-28,51,69.0,,0.69,35.19
2015-03-01,62,66.0,False,0.66,40.92
2015-03-02,88,66.0,,0.66,58.080000000000005
2015-03-03,95,66.0,,0.66,62.7
2015-03-04,94,66.0,,0.66,62.040000000000006
2015-03-05,87,66.0,,0.66,57.42
2015-03-06,89,66.0,,0.66,58.74
2015-03-07,56,66.0,,0.66,36.96
2015-03-08,59,66.0,,0.66,38.940000000000005
2015-03-09,90,66.0,,0.66,59.400000000000006
2015-03-10,87,66.0,,0.66,57.42
2015-03-11,96,66.0,,0.66,63.36
2015-03-12,90,66.0,,0.66,59.400000000000006
2015-03-13,80,66.0,,0.66,52.800000000000004
2015-03-14,50,66.0,,0.66,33.0
2015-03-15,53,66.0,,0.66,34.980000000000004
2015-03-16,93,66.0,,0.66,61.38
2015-03-17,100,66.0,,0.66,66.0
2015-03-18,92,66.0,,0.66,60.720000000000006
2015-03-19,94,66.0,,0.66,62.040000000000006
2015-03-20,92,66.0,,0.66,60.720000000000006
2015-03-21,55,66.0,,0.66,36.300000000000004
2015-03-22,61,66.0,,0.66,40.260000000000005
2015-03-23,90,66.0,,0.66,59.400000000000006
2015-03-24,93,66.0,,0.66,61.38
2015-03-25,90,66.0,,0.66,59.400000000000006
2015-03-26,86,66.0,,0.66,56.760000000000005
2015-03-27,76,66.0,,0.66,50.160000000000004
2015-03-28,51,66.0,,0.66,33.660000000000004
2015-03-29,65,66.0,,0.66,42.9
2015-03-30,88,66.0,,0.66,58.080000000000005
2015-03-31,84,66.0,,0.66,55.440000000000005
2015-04-01,80,68.0,False,0.68,54.400000000000006
2015-04-02,71,68.0,,0.68,48.28
2015-04-03,59,68.0,,0.68,40.120000000000005
2015-04-04,44,68.0,,0.68,29.92
2015-04-05,47,68.0,,0.68,31.96
2015-04-06,76,68.0,,0.68,51.68000000000001
2015-04-07,70,68.0,,0.68,47.6
2015-04-08,71,68.0,,0.68,48.28
2015-04-09,76,68.0,,0.68,51.68000000000001
2015-04-10,69,68.0,,0.68,46.92
2015-04-11,41,68.0,,0.68,27.880000000000003
2015-04-12,56,68.0,,0.68,38.080000000000005
2015-04-13,84,68.0,,0.68,57.120000000000005
2015-04-14,89,68.0,,0.68,60.52
2015-04-15,89,68.0,,0.68,60.52
2015-04-16,92,68.0,,0.68,62.56
2015-04-17,79,68.0,,0.68,53.720000000000006
2015-04-18,49,68.0,,0.68,33.32
2015-04-19,52,68.0,,0.68,35.36
2015-04-20,85,68.0,,0.68,57.800000000000004
2015-04-21,88,68.0,,0.68,59.84
2015-04-22,83,68.0,,0.68,56.440000000000005
2015-04-23,100,68.0,,0.68,68.0
2015-04-24,75,68.0,,0.68,51.00000000000001
2015-04-25,44,68.0,,0.68,29.92
2015-04-26,60,68.0,,0.68,40.800000000000004
2015-04-27,89,68.0,,0.68,60.52
2015-04-28,93,68.0,,0.68,63.24
2015-04-29,97,68.0,,0.68,65.96000000000001
2015-04-30,91,68.0,,0.68,61.88
2015-05-01,83,65.0,False,0.65,53.95
2015-05-02,48,65.0,,0.65,31.200000000000003
2015-05-03,59,65.0,,0.65,38.35
2015-05-04,99,65.0,,0.65,64.35000000000001
2015-05-05,97,65.0,,0.65,63.050000000000004
2015-05-06,93,65.0,,0.65,60.45
2015-05-07,87,65.0,,0.65,56.550000000000004
2015-05-08,85,65.0,,0.65,55.25
2015-05-09,46,65.0,,0.65,29.900000000000002
2015-05-10,59,65.0,,0.65,38.35
2015-05-11,93,65.0,,0.65,60.45
2015-05-12,100,65.0,,0.65,65.0
2015-05-13,89,65.0,,0.65,57.85
2015-05-14,87,65.0,,0.65,56.550000000000004
2015-05-15,81,65.0,,0.65,52.65
2015-05-16,51,65.0,,0.65,33.15
2015-05-17,59,65.0,,0.65,38.35
2015-05-18,89,65.0,,0.65,57.85
2015-05-19,87,65.0,,0.65,56.550000000000004
2015-05-20,90,65.0,,0.65,58.5
2015-05-21,79,65.0,,0.65,51.35
2015-05-22,76,65.0,,0.65,49.4
2015-05-23,44,65.0,,0.65,28.6
2015-05-24,41,65.0,,0.65,26.650000000000002
2015-05-25,59,65.0,,0.65,38.35
2015-05-26,87,65.0,,0.65,56.550000000000004
2015-05-27,69,65.0,,0.65,44.85
2015-05-28,76,65.0,,0.65,49.4
2015-05-29,76,65.0,,0.65,49.4
2015-05-30,42,65.0,,0.65,27.3
2015-05-31,53,65.0,,0.65,34.45
2015-06-01,99,49.0,False,0.49,48.51
2015-06-02,92,49.0,,0.49,45.08
2015-06-03,100,49.0,,0.49,49.0
2015-06-04,80,49.0,,0.49,39.2
2015-06-05,98,49.0,,0.49,48.019999999999996
2015-06-06,52,49.0,,0.49,25.48
2015-06-07,71,49.0,,0.49,34.79
2015-06-08,74,49.0,,0.49,36.26
2015-06-09,76,49.0,,0.49,37.24
2015-06-10,72,49.0,,0.49,35.28
2015-06-11,80,49.0,,0.49,39.2
2015-06-12,70,49.0,,0.49,34.3
2015-06-13,48,49.0,,0.49,23.52
2015-06-14,56,49.0,,0.49,27.439999999999998
2015-06-15,62,49.0,,0.49,30.38
2015-06-16,75,49.0,,0.49,36.75
2015-06-17,69,49.0,,0.49,33.81
2015-06-18,67,49.0,,0.49,32.83
2015-06-19,59,49.0,,0.49,28.91
2015-06-20,55,49.0,,0.49,26.95
2015-06-21,57,49.0,,0.49,27.93
2015-06-22,67,49.0,,0.49,32.83
2015-06-23,64,49.0,,0.49,31.36
2015-06-24,74,49.0,,0.49,36.26
2015-06-25,73,49.0,,0.49,35.769999999999996
2015-06-26,58,49.0,,0.49,28.419999999999998
2015-06-27,61,49.0,,0.49,29.89
2015-06-28,56,49.0,,0.49,27.439999999999998
2015-06-29,81,49.0,,0.49,39.69
2015-06-30,73,49.0,,0.49,35.769999999999996
2015-07-01,100,48.0,False,0.48,48.0
2015-07-02,96,48.0,,0.48,46.08
2015-07-03,68,48.0,,0.48,32.64
2015-07-04,59,48.0,,0.48,28.32
2015-07-05,75,48.0,,0.48,36.0
2015-07-06,88,48.0,,0.48,42.239999999999995
2015-07-07,93,48.0,,0.48,44.64
2015-07-08,95,48.0,,0.48,45.6
2015-07-09,93,48.0,,0.48,44.64
2015-07-10,78,48.0,,0.48,37.44
2015-07-11,88,48.0,,0.48,42.239999999999995
2015-07-12,71,48.0,,0.48,34.08
2015-07-13,95,48.0,,0.48,45.6
2015-07-14,92,48.0,,0.48,44.16
2015-07-15,88,48.0,,0.48,42.239999999999995
2015-07-16,87,48.0,,0.48,41.76
2015-07-17,81,48.0,,0.48,38.879999999999995
2015-07-18,67,48.0,,0.48,32.16
2015-07-19,79,48.0,,0.48,37.92
2015-07-20,93,48.0,,0.48,44.64
2015-07-21,74,48.0,,0.48,35.519999999999996
2015-07-22,89,48.0,,0.48,42.72
2015-07-23,84,48.0,,0.48,40.32
2015-07-24,87,48.0,,0.48,41.76
2015-07-25,65,48.0,,0.48,31.2
2015-07-26,67,48.0,,0.48,32.16
2015-07-27,75,48.0,,0.48,36.0
2015-07-28,86,48.0,,0.48,41.28
2015-07-29,73,48.0,,0.48,35.04
2015-07-30,82,48.0,,0.48,39.36
2015-07-31,71,48.0,,0.48,34.08
2015-08-01,56,55.0,False,0.55,30.800000000000004
2015-08-02,45,55.0,,0.55,24.750000000000004
2015-08-03,44,55.0,,0.55,24.200000000000003
2015-08-04,56,55.0,,0.55,30.800000000000004
2015-08-05,51,55.0,,0.55,28.05
2015-08-06,50,55.0,,0.55,27.500000000000004
2015-08-07,54,55.0,,0.55,29.700000000000003
2015-08-08,44,55.0,,0.55,24.200000000000003
2015-08-09,48,55.0,,0.55,26.400000000000002
2015-08-10,50,55.0,,0.55,27.500000000000004
2015-08-11,52,55.0,,0.55,28.6
2015-08-12,55,55.0,,0.55,30.250000000000004
2015-08-13,63,55.0,,0.55,34.650000000000006
2015-08-14,61,55.0,,0.55,33.550000000000004
2015-08-15,47,55.0,,0.55,25.85
2015-08-16,40,55.0,,0.55,22.0
2015-08-17,59,55.0,,0.55,32.45
2015-08-18,58,55.0,,0.55,31.900000000000002
2015-08-19,69,55.0,,0.55,37.95
2015-08-20,59,55.0,,0.55,32.45
2015-08-21,83,55.0,,0.55,45.650000000000006
2015-08-22,55,55.0,,0.55,30.250000000000004
2015-08-23,53,55.0,,0.55,29.150000000000002
2015-08-24,100,55.0,,0.55,55.00000000000001
2015-08-25,84,55.0,,0.55,46.2
2015-08-26,82,55.0,,0.55,45.1
2015-08-27,82,55.0,,0.55,45.1
2015-08-28,81,55.0,,0.55,44.550000000000004
2015-08-29,51,55.0,,0.55,28.05
2015-08-30,64,55.0,,0.55,35.2
2015-08-31,79,55.0,,0.55,43.45
2015-09-01,86,76.0,False,0.76,65.36
2015-09-02,76,76.0,,0.76,57.76
2015-09-03,83,76.0,,0.76,63.08
2015-09-04,72,76.0,,0.76,54.72
2015-09-05,43,76.0,,0.76,32.68
2015-09-06,48,76.0,,0.76,36.480000000000004
2015-09-07,56,76.0,,0.76,42.56
2015-09-08,90,76.0,,0.76,68.4
2015-09-09,87,76.0,,0.76,66.12
2015-09-10,87,76.0,,0.76,66.12
2015-09-11,85,76.0,,0.76,64.6
2015-09-12,53,76.0,,0.76,40.28
2015-09-13,50,76.0,,0.76,38.0
2015-09-14,84,76.0,,0.76,63.84
2015-09-15,100,76.0,,0.76,76.0
2015-09-16,93,76.0,,0.76,70.68
2015-09-17,87,76.0,,0.76,66.12
2015-09-18,88,76.0,,0.76,66.88
2015-09-19,45,76.0,,0.76,34.2
2015-09-20,57,76.0,,0.76,43.32
2015-09-21,85,76.0,,0.76,64.6
2015-09-22,88,76.0,,0.76,66.88
2015-09-23,92,76.0,,0.76,69.92
2015-09-24,90,76.0,,0.76,68.4
2015-09-25,84,76.0,,0.76,63.84
2015-09-26,43,76.0,,0.76,32.68
2015-09-27,52,76.0,,0.76,39.52
2015-09-28,85,76.0,,0.76,64.6
2015-09-29,98,76.0,,0.76,74.48
2015-09-30,95,76.0,,0.76,72.2
2015-10-01,95,70.0,False,0.7,66.5
2015-10-02,81,70.0,,0.7,56.699999999999996
2015-10-03,48,70.0,,0.7,33.599999999999994
2015-10-04,53,70.0,,0.7,37.099999999999994
2015-10-05,81,70.0,,0.7,56.699999999999996
2015-10-06,88,70.0,,0.7,61.599999999999994
2015-10-07,98,70.0,,0.7,68.6
2015-10-08,84,70.0,,0.7,58.8
2015-10-09,79,70.0,,0.7,55.3
2015-10-10,48,70.0,,0.7,33.599999999999994
2015-10-11,51,70.0,,0.7,35.699999999999996
2015-10-12,82,70.0,,0.7,57.4
2015-10-13,85,70.0,,0.7,59.49999999999999
2015-10-14,86,70.0,,0.7,60.199999999999996
2015-10-15,100,70.0,,0.7,70.0
2015-10-16,79,70.0,,0.7,55.3
2015-10-17,43,70.0,,0.7,30.099999999999998
2015-10-18,55,70.0,,0.7,38.5
2015-10-19,96,70.0,,0.7,67.19999999999999
2015-10-20,89,70.0,,0.7,62.3
2015-10-21,92,70.0,,0.7,64.39999999999999
2015-10-22,90,70.0,,0.7,62.99999999999999
2015-10-23,76,70.0,,0.7,53.199999999999996
2015-10-24,45,70.0,,0.7,31.499999999999996
2015-10-25,45,70.0,,0.7,31.499999999999996
2015-10-26,89,70.0,,0.7,62.3
2015-10-27,92,70.0,,0.7,64.39999999999999
2015-10-28,95,70.0,,0.7,66.5
2015-10-29,97,70.0,,0.7,67.89999999999999
2015-10-30,78,70.0,,0.7,54.599999999999994
2015-10-31,43,70.0,,0.7,30.099999999999998
2015-11-01,60,65.0,False,0.65,39.0
2015-11-02,86,65.0,,0.65,55.9
2015-11-03,87,65.0,,0.65,56.550000000000004
2015-11-04,90,65.0,,0.65,58.5
2015-11-05,90,65.0,,0.65,58.5
2015-11-06,89,65.0,,0.65,57.85
2015-11-07,42,65.0,,0.65,27.3
2015-11-08,58,65.0,,0.65,37.7
2015-11-09,100,65.0,,0.65,65.0
2015-11-10,100,65.0,,0.65,65.0
2015-11-11,81,65.0,,0.65,52.65
2015-11-12,86,65.0,,0.65,55.9
2015-11-13,86,65.0,,0.65,55.9
2015-11-14,38,65.0,,0.65,24.7
2015-11-15,56,65.0,,0.65,36.4
2015-11-16,89,65.0,,0.65,57.85
2015-11-17,93,65.0,,0.65,60.45
2015-11-18,94,65.0,,0.65,61.1
2015-11-19,89,65.0,,0.65,57.85
2015-11-20,72,65.0,,0.65,46.800000000000004
2015-11-21,39,65.0,,0.65,25.35
2015-11-22,59,65.0,,0.65,38.35
2015-11-23,67,65.0,,0.65,43.550000000000004
2015-11-24,75,65.0,,0.65,48.75
2015-11-25,47,65.0,,0.65,30.55
2015-11-26,26,65.0,,0.65,16.900000000000002
2015-11-27,34,65.0,,0.65,22.1
2015-11-28,43,65.0,,0.65,27.95
2015-11-29,46,65.0,,0.65,29.900000000000002
2015-11-30,73,65.0,,0.65,47.45
2015-12-01,89,60.0,False,0.6,53.4
2015-12-02,84,60.0,,0.6,50.4
2015-12-03,85,60.0,,0.6,51.0
2015-12-04,76,60.0,,0.6,45.6
2015-12-05,47,60.0,,0.6,28.2
2015-12-06,54,60.0,,0.6,32.4
2015-12-07,86,60.0,,0.6,51.6
2015-12-08,97,60.0,,0.6,58.199999999999996
2015-12-09,89,60.0,,0.6,53.4
2015-12-10,100,60.0,,0.6,60.0
2015-12-11,88,60.0,,0.6,52.8
2015-12-12,43,60.0,,0.6,25.8
2015-12-13,52,60.0,,0.6,31.2
2015-12-14,78,60.0,,0.6,46.8
2015-12-15,81,60.0,,0.6,48.6
2015-12-16,87,60.0,,0.6,52.199999999999996
2015-12-17,75,60.0,,0.6,45.0
2015-12-18,66,60.0,,0.6,39.6
2015-12-19,36,60.0,,0.6,21.599999999999998
2015-12-20,37,60.0,,0.6,22.2
2015-12-21,47,60.0,,0.6,28.2
2015-12-22,42,60.0,,0.6,25.2
2015-12-23,34,60.0,,0.6,20.4
2015-12-24,35,60.0,,0.6,21.0
2015-12-25,30,60.0,,0.6,18.0
2015-12-26,32,60.0,,0.6,19.2
2015-12-27,33,60.0,,0.6,19.8
2015-12-28,42,60.0,,0.6,25.2
2015-12-29,42,60.0,,0.6,25.2
2015-12-30,41,60.0,,0.6,24.599999999999998
2015-12-31,35,60.0,,0.6,21.0
2016-01-01,35,69.0,False,0.69,24.15
2016-01-02,31,69.0,,0.69,21.389999999999997
2016-01-03,42,69.0,,0.69,28.979999999999997
2016-01-04,51,69.0,,0.69,35.19
2016-01-05,62,69.0,,0.69,42.779999999999994
2016-01-06,63,69.0,,0.69,43.47
2016-01-07,77,69.0,,0.69,53.129999999999995
2016-01-08,81,69.0,,0.69,55.88999999999999
2016-01-09,49,69.0,,0.69,33.809999999999995
2016-01-10,48,69.0,,0.69,33.12
2016-01-11,70,69.0,,0.69,48.3
2016-01-12,76,69.0,,0.69,52.44
2016-01-13,94,69.0,,0.69,64.86
2016-01-14,89,69.0,,0.69,61.41
2016-01-15,82,69.0,,0.69,56.58
2016-01-16,60,69.0,,0.69,41.4
2016-01-17,52,69.0,,0.69,35.879999999999995
2016-01-18,74,69.0,,0.69,51.059999999999995
2016-01-19,97,69.0,,0.69,66.92999999999999
2016-01-20,90,69.0,,0.69,62.099999999999994
2016-01-21,80,69.0,,0.69,55.199999999999996
2016-01-22,84,69.0,,0.69,57.959999999999994
2016-01-23,47,69.0,,0.69,32.43
2016-01-24,59,69.0,,0.69,40.709999999999994
2016-01-25,73,69.0,,0.69,50.37
2016-01-26,97,69.0,,0.69,66.92999999999999
2016-01-27,100,69.0,,0.69,69.0
2016-01-28,98,69.0,,0.69,67.61999999999999
2016-01-29,96,69.0,,0.69,66.24
2016-01-30,50,69.0,,0.69,34.5
2016-01-31,57,69.0,,0.69,39.33
2016-02-01,87,77.0,False,0.77,66.99
2016-02-02,85,77.0,,0.77,65.45
2016-02-03,94,77.0,,0.77,72.38
2016-02-04,91,77.0,,0.77,70.07000000000001
2016-02-05,89,77.0,,0.77,68.53
2016-02-06,49,77.0,,0.77,37.730000000000004
2016-02-07,54,77.0,,0.77,41.58
2016-02-08,79,77.0,,0.77,60.83
2016-02-09,92,77.0,,0.77,70.84
2016-02-10,98,77.0,,0.77,75.46000000000001
2016-02-11,100,77.0,,0.77,77.0
2016-02-12,77,77.0,,0.77,59.29
2016-02-13,50,77.0,,0.77,38.5
2016-02-14,48,77.0,,0.77,36.96
2016-02-15,66,77.0,,0.77,50.82
2016-02-16,79,77.0,,0.77,60.83
2016-02-17,89,77.0,,0.77,68.53
2016-02-18,89,77.0,,0.77,68.53
2016-02-19,77,77.0,,0.77,59.29
2016-02-20,44,77.0,,0.77,33.88
2016-02-21,57,77.0,,0.77,43.89
2016-02-22,85,77.0,,0.77,65.45
2016-02-23,87,77.0,,0.77,66.99
2016-02-24,83,77.0,,0.77,63.910000000000004
