date,consume_unscaled,consume_monthly,isPartial,scale,consume
2010-05-20,75,49.0,,0.49,36.75
2010-05-21,20,49.0,,0.49,9.8
2010-05-22,56,49.0,,0.49,27.439999999999998
2010-05-23,100,49.0,,0.49,49.0
2010-05-24,55,49.0,,0.49,26.95
2010-05-25,72,49.0,,0.49,35.28
2010-05-26,84,49.0,,0.49,41.16
2010-05-27,57,49.0,,0.49,27.93
2010-05-28,41,49.0,,0.49,20.09
2010-05-29,44,49.0,,0.49,21.56
2010-05-30,77,49.0,,0.49,37.73
2010-05-31,40,49.0,,0.49,19.6
2010-06-01,50,46.0,False,0.46,23.0
2010-06-02,57,46.0,,0.46,26.220000000000002
2010-06-03,17,46.0,,0.46,7.82
2010-06-04,44,46.0,,0.46,20.240000000000002
2010-06-05,100,46.0,,0.46,46.0
2010-06-06,88,46.0,,0.46,40.480000000000004
2010-06-07,42,46.0,,0.46,19.32
2010-06-08,57,46.0,,0.46,26.220000000000002
2010-06-09,25,46.0,,0.46,11.5
2010-06-10,34,46.0,,0.46,15.64
2010-06-11,27,46.0,,0.46,12.42
2010-06-12,25,46.0,,0.46,11.5
2010-06-13,0,46.0,,0.46,0.0
2010-06-14,17,46.0,,0.46,7.82
2010-06-15,75,46.0,,0.46,34.5
2010-06-16,60,46.0,,0.46,27.6
2010-06-17,61,46.0,,0.46,28.060000000000002
2010-06-18,65,46.0,,0.46,29.900000000000002
2010-06-19,13,46.0,,0.46,5.98
2010-06-20,41,46.0,,0.46,18.86
2010-06-21,68,46.0,,0.46,31.28
2010-06-22,49,46.0,,0.46,22.540000000000003
2010-06-23,50,46.0,,0.46,23.0
2010-06-24,68,46.0,,0.46,31.28
2010-06-25,37,46.0,,0.46,17.02
2010-06-26,38,46.0,,0.46,17.48
2010-06-27,38,46.0,,0.46,17.48
2010-06-28,42,46.0,,0.46,19.32
2010-06-29,49,46.0,,0.46,22.540000000000003
2010-06-30,51,46.0,,0.46,23.46
2010-07-01,51,40.0,False,0.4,20.400000000000002
2010-07-02,63,40.0,,0.4,25.200000000000003
2010-07-03,36,40.0,,0.4,14.4
2010-07-04,31,40.0,,0.4,12.4
2010-07-05,26,40.0,,0.4,10.4
2010-07-06,88,40.0,,0.4,35.2
2010-07-07,76,40.0,,0.4,30.400000000000002
2010-07-08,87,40.0,,0.4,34.800000000000004
2010-07-09,40,40.0,,0.4,16.0
2010-07-10,79,40.0,,0.4,31.6
2010-07-11,41,40.0,,0.4,16.400000000000002
2010-07-12,48,40.0,,0.4,19.200000000000003
