date,Coronavirus_unscaled,Coronavirus_monthly,isPartial,scale,Coronavirus
2010-05-24,49,0.0,,0.0,0.0
2010-05-25,0,0.0,,0.0,0.0
2010-05-26,0,0.0,,0.0,0.0
2010-05-27,50,0.0,,0.0,0.0
2010-05-28,0,0.0,,0.0,0.0
2010-05-29,0,0.0,,0.0,0.0
2010-05-30,0,0.0,,0.0,0.0
2010-05-31,0,0.0,,0.0,0.0
2010-06-01,0,0.0,False,0.0,0.0
2010-06-02,47,0.0,,0.0,0.0
2010-06-03,0,0.0,,0.0,0.0
2010-06-04,0,0.0,,0.0,0.0
2010-06-05,72,0.0,,0.0,0.0
2010-06-06,0,0.0,,0.0,0.0
2010-06-07,47,0.0,,0.0,0.0
2010-06-08,47,0.0,,0.0,0.0
2010-06-09,48,0.0,,0.0,0.0
2010-06-10,50,0.0,,0.0,0.0
2010-06-11,0,0.0,,0.0,0.0
2010-06-12,0,0.0,,0.0,0.0
2010-06-13,0,0.0,,0.0,0.0
2010-06-14,0,0.0,,0.0,0.0
2010-06-15,0,0.0,,0.0,0.0
2010-06-16,49,0.0,,0.0,0.0
2010-06-17,50,0.0,,0.0,0.0
2010-06-18,54,0.0,,0.0,0.0
2010-06-19,0,0.0,,0.0,0.0
2010-06-20,0,0.0,,0.0,0.0
2010-06-21,100,0.0,,0.0,0.0
2010-06-22,0,0.0,,0.0,0.0
2010-06-23,0,0.0,,0.0,0.0
2010-06-24,0,0.0,,0.0,0.0
2010-06-25,0,0.0,,0.0,0.0
2010-06-26,0,0.0,,0.0,0.0
2010-06-27,0,0.0,,0.0,0.0
2010-06-28,48,0.0,,0.0,0.0
2010-06-29,48,0.0,,0.0,0.0
2010-06-30,48,0.0,,0.0,0.0
2010-07-01,0,0.0,False,0.0,0.0
2010-07-02,83,0.0,,0.0,0.0
2010-07-03,0,0.0,,0.0,0.0
2010-07-04,0,0.0,,0.0,0.0
2010-07-05,0,0.0,,0.0,0.0
2010-07-06,0,0.0,,0.0,0.0
2010-07-07,69,0.0,,0.0,0.0
2010-07-08,0,0.0,,0.0,0.0
2010-07-09,0,0.0,,0.0,0.0
2010-07-10,0,0.0,,0.0,0.0
2010-07-11,0,0.0,,0.0,0.0
2010-07-12,0,0.0,,0.0,0.0
2010-07-13,0,0.0,,0.0,0.0
2010-07-14,0,0.0,,0.0,0.0
2010-07-15,0,0.0,,0.0,0.0
2010-07-16,0,0.0,,0.0,0.0
2010-07-17,100,0.0,,0.0,0.0
2010-07-18,0,0.0,,0.0,0.0
2010-07-19,0,0.0,,0.0,0.0
2010-07-20,68,0.0,,0.0,0.0
2010-07-21,0,0.0,,0.0,0.0
2010-07-22,0,0.0,,0.0,0.0
2010-07-23,0,0.0,,0.0,0.0
2010-07-24,0,0.0,,0.0,0.0
2010-07-25,0,0.0,,0.0,0.0
2010-07-26,0,0.0,,0.0,0.0
2010-07-27,0,0.0,,0.0,0.0
2010-07-28,0,0.0,,0.0,0.0
2010-07-29,0,0.0,,0.0,0.0
2010-07-30,73,0.0,,0.0,0.0
2010-07-31,0,0.0,,0.0,0.0
2010-08-01,0,0.0,False,0.0,0.0
2010-08-02,51,0.0,,0.0,0.0
2010-08-03,0,0.0,,0.0,0.0
2010-08-04,0,0.0,,0.0,0.0
2010-08-05,0,0.0,,0.0,0.0
2010-08-06,0,0.0,,0.0,0.0
2010-08-07,0,0.0,,0.0,0.0
2010-08-08,0,0.0,,0.0,0.0
2010-08-09,51,0.0,,0.0,0.0
2010-08-10,100,0.0,,0.0,0.0
2010-08-11,51,0.0,,0.0,0.0
2010-08-12,52,0.0,,0.0,0.0
2010-08-13,54,0.0,,0.0,0.0
2010-08-14,0,0.0,,0.0,0.0
2010-08-15,0,0.0,,0.0,0.0
2010-08-16,0,0.0,,0.0,0.0
2010-08-17,0,0.0,,0.0,0.0
2010-08-18,51,0.0,,0.0,0.0
2010-08-19,0,0.0,,0.0,0.0
2010-08-20,54,0.0,,0.0,0.0
2010-08-21,0,0.0,,0.0,0.0
2010-08-22,0,0.0,,0.0,0.0
2010-08-23,0,0.0,,0.0,0.0
2010-08-24,49,0.0,,0.0,0.0
2010-08-25,50,0.0,,0.0,0.0
2010-08-26,0,0.0,,0.0,0.0
2010-08-27,0,0.0,,0.0,0.0
2010-08-28,0,0.0,,0.0,0.0
2010-08-29,0,0.0,,0.0,0.0
2010-08-30,0,0.0,,0.0,0.0
2010-08-31,48,0.0,,0.0,0.0
2010-09-01,0,0.0,False,0.0,0.0
2010-09-02,0,0.0,,0.0,0.0
2010-09-03,0,0.0,,0.0,0.0
2010-09-04,0,0.0,,0.0,0.0
