date,derivatives_unscaled,derivatives_monthly,isPartial,scale,derivatives
2019-02-27,93,48.0,,0.48,44.64
2019-02-28,81,48.0,,0.48,38.879999999999995
2019-03-01,70,39.0,False,0.39,27.3
2019-03-02,33,39.0,,0.39,12.870000000000001
2019-03-03,33,39.0,,0.39,12.870000000000001
2019-03-04,70,39.0,,0.39,27.3
2019-03-05,47,39.0,,0.39,18.330000000000002
2019-03-06,74,39.0,,0.39,28.86
2019-03-07,66,39.0,,0.39,25.740000000000002
2019-03-08,74,39.0,,0.39,28.86
2019-03-09,38,39.0,,0.39,14.82
2019-03-10,34,39.0,,0.39,13.26
2019-03-11,59,39.0,,0.39,23.01
2019-03-12,71,39.0,,0.39,27.69
2019-03-13,62,39.0,,0.39,24.18
2019-03-14,100,39.0,,0.39,39.0
2019-03-15,34,39.0,,0.39,13.26
2019-03-16,27,39.0,,0.39,10.530000000000001
2019-03-17,28,39.0,,0.39,10.92
2019-03-18,67,39.0,,0.39,26.130000000000003
2019-03-19,45,39.0,,0.39,17.55
2019-03-20,59,39.0,,0.39,23.01
2019-03-21,72,39.0,,0.39,28.080000000000002
2019-03-22,51,39.0,,0.39,19.89
2019-03-23,23,39.0,,0.39,8.97
2019-03-24,22,39.0,,0.39,8.58
2019-03-25,44,39.0,,0.39,17.16
2019-03-26,44,39.0,,0.39,17.16
2019-03-27,68,39.0,,0.39,26.52
2019-03-28,49,39.0,,0.39,19.11
2019-03-29,44,39.0,,0.39,17.16
2019-03-30,35,39.0,,0.39,13.65
2019-03-31,34,39.0,,0.39,13.26
2019-04-01,72,39.0,False,0.39,28.080000000000002
2019-04-02,59,39.0,,0.39,23.01
2019-04-03,100,39.0,,0.39,39.0
2019-04-04,84,39.0,,0.39,32.76
2019-04-05,77,39.0,,0.39,30.03
2019-04-06,31,39.0,,0.39,12.09
2019-04-07,34,39.0,,0.39,13.26
2019-04-08,59,39.0,,0.39,23.01
2019-04-09,53,39.0,,0.39,20.67
2019-04-10,59,39.0,,0.39,23.01
2019-04-11,65,39.0,,0.39,25.35
2019-04-12,45,39.0,,0.39,17.55
2019-04-13,11,39.0,,0.39,4.29
2019-04-14,26,39.0,,0.39,10.14
2019-04-15,53,39.0,,0.39,20.67
2019-04-16,53,39.0,,0.39,20.67
2019-04-17,65,39.0,,0.39,25.35
2019-04-18,71,39.0,,0.39,27.69
2019-04-19,45,39.0,,0.39,17.55
2019-04-20,35,39.0,,0.39,13.65
2019-04-21,45,39.0,,0.39,17.55
2019-04-22,43,39.0,,0.39,16.77
2019-04-23,73,39.0,,0.39,28.470000000000002
2019-04-24,73,39.0,,0.39,28.470000000000002
2019-04-25,59,39.0,,0.39,23.01
2019-04-26,66,39.0,,0.39,25.740000000000002
2019-04-27,26,39.0,,0.39,10.14
2019-04-28,27,39.0,,0.39,10.530000000000001
2019-04-29,55,39.0,,0.39,21.45
2019-04-30,66,39.0,,0.39,25.740000000000002
2019-05-01,87,35.0,False,0.35,30.45
2019-05-02,64,35.0,,0.35,22.4
2019-05-03,79,35.0,,0.35,27.65
2019-05-04,20,35.0,,0.35,7.0
2019-05-05,43,35.0,,0.35,15.049999999999999
2019-05-06,78,35.0,,0.35,27.299999999999997
2019-05-07,91,35.0,,0.35,31.849999999999998
2019-05-08,42,35.0,,0.35,14.7
2019-05-09,42,35.0,,0.35,14.7
2019-05-10,47,35.0,,0.35,16.45
2019-05-11,20,35.0,,0.35,7.0
2019-05-12,36,35.0,,0.35,12.6
2019-05-13,78,35.0,,0.35,27.299999999999997
2019-05-14,100,35.0,,0.35,35.0
2019-05-15,33,35.0,,0.35,11.549999999999999
2019-05-16,40,35.0,,0.35,14.0
2019-05-17,31,35.0,,0.35,10.85
2019-05-18,4,35.0,,0.35,1.4
2019-05-19,37,35.0,,0.35,12.95
2019-05-20,33,35.0,,0.35,11.549999999999999
2019-05-21,56,35.0,,0.35,19.599999999999998
2019-05-22,84,35.0,,0.35,29.4
2019-05-23,61,35.0,,0.35,21.349999999999998
2019-05-24,49,35.0,,0.35,17.15
2019-05-25,13,35.0,,0.35,4.55
2019-05-26,17,35.0,,0.35,5.949999999999999
2019-05-27,32,35.0,,0.35,11.2
2019-05-28,33,35.0,,0.35,11.549999999999999
2019-05-29,36,35.0,,0.35,12.6
2019-05-30,63,35.0,,0.35,22.049999999999997
2019-05-31,41,35.0,,0.35,14.35
2019-06-01,24,23.0,False,0.23,5.5200000000000005
2019-06-02,29,23.0,,0.23,6.67
2019-06-03,41,23.0,,0.23,9.43
2019-06-04,46,23.0,,0.23,10.58
2019-06-05,51,23.0,,0.23,11.73
2019-06-06,61,23.0,,0.23,14.030000000000001
2019-06-07,100,23.0,,0.23,23.0
2019-06-08,18,23.0,,0.23,4.140000000000001
2019-06-09,55,23.0,,0.23,12.65
2019-06-10,56,23.0,,0.23,12.88
2019-06-11,61,23.0,,0.23,14.030000000000001
2019-06-12,74,23.0,,0.23,17.02
2019-06-13,72,23.0,,0.23,16.560000000000002
2019-06-14,57,23.0,,0.23,13.110000000000001
2019-06-15,30,23.0,,0.23,6.9
2019-06-16,36,23.0,,0.23,8.280000000000001
2019-06-17,41,23.0,,0.23,9.43
2019-06-18,82,23.0,,0.23,18.86
2019-06-19,76,23.0,,0.23,17.48
2019-06-20,42,23.0,,0.23,9.66
2019-06-21,43,23.0,,0.23,9.89
2019-06-22,38,23.0,,0.23,8.74
2019-06-23,31,23.0,,0.23,7.13
2019-06-24,42,23.0,,0.23,9.66
2019-06-25,32,23.0,,0.23,7.36
2019-06-26,47,23.0,,0.23,10.81
2019-06-27,78,23.0,,0.23,17.94
2019-06-28,28,23.0,,0.23,6.44
2019-06-29,12,23.0,,0.23,2.7600000000000002
2019-06-30,37,23.0,,0.23,8.51
2019-07-01,85,19.0,False,0.19,16.15
2019-07-02,92,19.0,,0.19,17.48
2019-07-03,67,19.0,,0.19,12.73
2019-07-04,36,19.0,,0.19,6.84
2019-07-05,44,19.0,,0.19,8.36
2019-07-06,43,19.0,,0.19,8.17
2019-07-07,27,19.0,,0.19,5.13
2019-07-08,62,19.0,,0.19,11.78
2019-07-09,60,19.0,,0.19,11.4
2019-07-10,84,19.0,,0.19,15.96
2019-07-11,100,19.0,,0.19,19.0
2019-07-12,54,19.0,,0.19,10.26
2019-07-13,37,19.0,,0.19,7.03
2019-07-14,66,19.0,,0.19,12.540000000000001
2019-07-15,80,19.0,,0.19,15.2
2019-07-16,79,19.0,,0.19,15.01
2019-07-17,62,19.0,,0.19,11.78
2019-07-18,81,19.0,,0.19,15.39
2019-07-19,66,19.0,,0.19,12.540000000000001
2019-07-20,32,19.0,,0.19,6.08
2019-07-21,41,19.0,,0.19,7.79
2019-07-22,87,19.0,,0.19,16.53
2019-07-23,98,19.0,,0.19,18.62
2019-07-24,55,19.0,,0.19,10.45
2019-07-25,54,19.0,,0.19,10.26
2019-07-26,30,19.0,,0.19,5.7
2019-07-27,38,19.0,,0.19,7.22
2019-07-28,63,19.0,,0.19,11.97
2019-07-29,47,19.0,,0.19,8.93
2019-07-30,54,19.0,,0.19,10.26
2019-07-31,86,19.0,,0.19,16.34
2019-08-01,39,21.0,False,0.21,8.19
2019-08-02,41,21.0,,0.21,8.61
2019-08-03,58,21.0,,0.21,12.18
2019-08-04,32,21.0,,0.21,6.72
2019-08-05,55,21.0,,0.21,11.549999999999999
2019-08-06,67,21.0,,0.21,14.07
2019-08-07,28,21.0,,0.21,5.88
2019-08-08,34,21.0,,0.21,7.14
2019-08-09,28,21.0,,0.21,5.88
2019-08-10,32,21.0,,0.21,6.72
2019-08-11,0,21.0,,0.21,0.0
2019-08-12,49,21.0,,0.21,10.29
2019-08-13,60,21.0,,0.21,12.6
2019-08-14,53,21.0,,0.21,11.129999999999999
2019-08-15,87,21.0,,0.21,18.27
2019-08-16,49,21.0,,0.21,10.29
2019-08-17,13,21.0,,0.21,2.73
2019-08-18,77,21.0,,0.21,16.169999999999998
2019-08-19,47,21.0,,0.21,9.87
2019-08-20,43,21.0,,0.21,9.03
2019-08-21,76,21.0,,0.21,15.959999999999999
2019-08-22,43,21.0,,0.21,9.03
2019-08-23,43,21.0,,0.21,9.03
2019-08-24,31,21.0,,0.21,6.51
2019-08-25,56,21.0,,0.21,11.76
2019-08-26,100,21.0,,0.21,21.0
2019-08-27,68,21.0,,0.21,14.28
2019-08-28,68,21.0,,0.21,14.28
2019-08-29,96,21.0,,0.21,20.16
2019-08-30,62,21.0,,0.21,13.02
2019-08-31,60,21.0,,0.21,12.6
2019-09-01,27,48.0,False,0.48,12.959999999999999
2019-09-02,29,48.0,,0.48,13.92
2019-09-03,43,48.0,,0.48,20.64
2019-09-04,41,48.0,,0.48,19.68
2019-09-05,51,48.0,,0.48,24.48
2019-09-06,46,48.0,,0.48,22.08
2019-09-07,29,48.0,,0.48,13.92
2019-09-08,40,48.0,,0.48,19.2
2019-09-09,57,48.0,,0.48,27.36
2019-09-10,58,48.0,,0.48,27.84
2019-09-11,61,48.0,,0.48,29.279999999999998
2019-09-12,56,48.0,,0.48,26.88
2019-09-13,49,48.0,,0.48,23.52
2019-09-14,21,48.0,,0.48,10.08
2019-09-15,33,48.0,,0.48,15.84
2019-09-16,61,48.0,,0.48,29.279999999999998
2019-09-17,83,48.0,,0.48,39.839999999999996
2019-09-18,67,48.0,,0.48,32.16
2019-09-19,50,48.0,,0.48,24.0
2019-09-20,52,48.0,,0.48,24.96
2019-09-21,31,48.0,,0.48,14.879999999999999
2019-09-22,35,48.0,,0.48,16.8
2019-09-23,81,48.0,,0.48,38.879999999999995
2019-09-24,100,48.0,,0.48,48.0
2019-09-25,90,48.0,,0.48,43.199999999999996
2019-09-26,90,48.0,,0.48,43.199999999999996
2019-09-27,65,48.0,,0.48,31.2
2019-09-28,41,48.0,,0.48,19.68
2019-09-29,45,48.0,,0.48,21.599999999999998
2019-09-30,83,48.0,,0.48,39.839999999999996
2019-10-01,100,63.0,False,0.63,63.0
2019-10-02,77,63.0,,0.63,48.51
2019-10-03,63,63.0,,0.63,39.69
2019-10-04,70,63.0,,0.63,44.1
2019-10-05,17,63.0,,0.63,10.71
2019-10-06,43,63.0,,0.63,27.09
2019-10-07,75,63.0,,0.63,47.25
2019-10-08,71,63.0,,0.63,44.73
2019-10-09,68,63.0,,0.63,42.84
2019-10-10,84,63.0,,0.63,52.92
2019-10-11,79,63.0,,0.63,49.77
2019-10-12,17,63.0,,0.63,10.71
2019-10-13,36,63.0,,0.63,22.68
2019-10-14,55,63.0,,0.63,34.65
2019-10-15,60,63.0,,0.63,37.8
2019-10-16,91,63.0,,0.63,57.33
2019-10-17,86,63.0,,0.63,54.18
2019-10-18,66,63.0,,0.63,41.58
2019-10-19,34,63.0,,0.63,21.42
2019-10-20,23,63.0,,0.63,14.49
2019-10-21,73,63.0,,0.63,45.99
2019-10-22,93,63.0,,0.63,58.59
2019-10-23,50,63.0,,0.63,31.5
2019-10-24,68,63.0,,0.63,42.84
2019-10-25,56,63.0,,0.63,35.28
2019-10-26,29,63.0,,0.63,18.27
2019-10-27,21,63.0,,0.63,13.23
2019-10-28,53,63.0,,0.63,33.39
2019-10-29,73,63.0,,0.63,45.99
2019-10-30,55,63.0,,0.63,34.65
2019-10-31,47,63.0,,0.63,29.61
2019-11-01,86,44.0,False,0.44,37.84
2019-11-02,33,44.0,,0.44,14.52
2019-11-03,53,44.0,,0.44,23.32
2019-11-04,83,44.0,,0.44,36.52
2019-11-05,99,44.0,,0.44,43.56
2019-11-06,98,44.0,,0.44,43.12
2019-11-07,100,44.0,,0.44,44.0
2019-11-08,82,44.0,,0.44,36.08
2019-11-09,37,44.0,,0.44,16.28
2019-11-10,27,44.0,,0.44,11.88
2019-11-11,65,44.0,,0.44,28.6
2019-11-12,89,44.0,,0.44,39.160000000000004
2019-11-13,93,44.0,,0.44,40.92
2019-11-14,69,44.0,,0.44,30.36
2019-11-15,56,44.0,,0.44,24.64
2019-11-16,32,44.0,,0.44,14.08
2019-11-17,39,44.0,,0.44,17.16
2019-11-18,60,44.0,,0.44,26.4
2019-11-19,100,44.0,,0.44,44.0
2019-11-20,78,44.0,,0.44,34.32
2019-11-21,89,44.0,,0.44,39.160000000000004
2019-11-22,85,44.0,,0.44,37.4
2019-11-23,27,44.0,,0.44,11.88
2019-11-24,24,44.0,,0.44,10.56
2019-11-25,63,44.0,,0.44,27.72
2019-11-26,80,44.0,,0.44,35.2
2019-11-27,42,44.0,,0.44,18.48
2019-11-28,17,44.0,,0.44,7.48
2019-11-29,21,44.0,,0.44,9.24
2019-11-30,17,44.0,,0.44,7.48
2019-12-01,28,31.0,False,0.31,8.68
2019-12-02,56,31.0,,0.31,17.36
2019-12-03,64,31.0,,0.31,19.84
2019-12-04,72,31.0,,0.31,22.32
2019-12-05,86,31.0,,0.31,26.66
2019-12-06,78,31.0,,0.31,24.18
2019-12-07,34,31.0,,0.31,10.54
2019-12-08,48,31.0,,0.31,14.879999999999999
2019-12-09,79,31.0,,0.31,24.49
2019-12-10,77,31.0,,0.31,23.87
2019-12-11,93,31.0,,0.31,28.83
2019-12-12,100,31.0,,0.31,31.0
2019-12-13,70,31.0,,0.31,21.7
2019-12-14,34,31.0,,0.31,10.54
2019-12-15,52,31.0,,0.31,16.12
2019-12-16,65,31.0,,0.31,20.15
2019-12-17,70,31.0,,0.31,21.7
2019-12-18,81,31.0,,0.31,25.11
2019-12-19,62,31.0,,0.31,19.22
2019-12-20,39,31.0,,0.31,12.09
2019-12-21,10,31.0,,0.31,3.1
2019-12-22,10,31.0,,0.31,3.1
2019-12-23,14,31.0,,0.31,4.34
2019-12-24,11,31.0,,0.31,3.41
2019-12-25,11,31.0,,0.31,3.41
2019-12-26,15,31.0,,0.31,4.65
2019-12-27,19,31.0,,0.31,5.89
2019-12-28,12,31.0,,0.31,3.7199999999999998
2019-12-29,10,31.0,,0.31,3.1
2019-12-30,7,31.0,,0.31,2.17
2019-12-31,13,31.0,,0.31,4.03
2020-01-01,11,34.0,False,0.34,3.74
2020-01-02,27,34.0,,0.34,9.180000000000001
2020-01-03,24,34.0,,0.34,8.16
2020-01-04,25,34.0,,0.34,8.5
2020-01-05,45,34.0,,0.34,15.3
2020-01-06,35,34.0,,0.34,11.9
2020-01-07,61,34.0,,0.34,20.740000000000002
2020-01-08,47,34.0,,0.34,15.98
2020-01-09,65,34.0,,0.34,22.1
2020-01-10,59,34.0,,0.34,20.060000000000002
2020-01-11,31,34.0,,0.34,10.540000000000001
2020-01-12,28,34.0,,0.34,9.520000000000001
2020-01-13,53,34.0,,0.34,18.02
2020-01-14,80,34.0,,0.34,27.200000000000003
2020-01-15,79,34.0,,0.34,26.860000000000003
2020-01-16,74,34.0,,0.34,25.16
2020-01-17,73,34.0,,0.34,24.82
2020-01-18,26,34.0,,0.34,8.84
2020-01-19,26,34.0,,0.34,8.84
2020-01-20,49,34.0,,0.34,16.66
2020-01-21,71,34.0,,0.34,24.14
2020-01-22,84,34.0,,0.34,28.560000000000002
2020-01-23,62,34.0,,0.34,21.080000000000002
2020-01-24,99,34.0,,0.34,33.660000000000004
2020-01-25,35,34.0,,0.34,11.9
2020-01-26,47,34.0,,0.34,15.98
2020-01-27,100,34.0,,0.34,34.0
2020-01-28,73,34.0,,0.34,24.82
2020-01-29,85,34.0,,0.34,28.900000000000002
2020-01-30,90,34.0,,0.34,30.6
2020-01-31,94,34.0,,0.34,31.96
2020-02-01,24,50.0,False,0.5,12.0
2020-02-02,54,50.0,,0.5,27.0
2020-02-03,69,50.0,,0.5,34.5
2020-02-04,87,50.0,,0.5,43.5
2020-02-05,74,50.0,,0.5,37.0
2020-02-06,92,50.0,,0.5,46.0
2020-02-07,71,50.0,,0.5,35.5
2020-02-08,28,50.0,,0.5,14.0
2020-02-09,46,50.0,,0.5,23.0
2020-02-10,92,50.0,,0.5,46.0
2020-02-11,99,50.0,,0.5,49.5
2020-02-12,83,50.0,,0.5,41.5
2020-02-13,92,50.0,,0.5,46.0
2020-02-14,67,50.0,,0.5,33.5
2020-02-15,33,50.0,,0.5,16.5
2020-02-16,44,50.0,,0.5,22.0
2020-02-17,68,50.0,,0.5,34.0
2020-02-18,94,50.0,,0.5,47.0
2020-02-19,97,50.0,,0.5,48.5
2020-02-20,87,50.0,,0.5,43.5
2020-02-21,98,50.0,,0.5,49.0
2020-02-22,36,50.0,,0.5,18.0
2020-02-23,49,50.0,,0.5,24.5
2020-02-24,76,50.0,,0.5,38.0
2020-02-25,99,50.0,,0.5,49.5
2020-02-26,98,50.0,,0.5,49.0
2020-02-27,100,50.0,,0.5,50.0
2020-02-28,71,50.0,,0.5,35.5
2020-02-29,41,50.0,,0.5,20.5
2020-03-01,29,33.0,False,0.33,9.57
2020-03-02,70,33.0,,0.33,23.1
2020-03-03,77,33.0,,0.33,25.41
2020-03-04,100,33.0,,0.33,33.0
2020-03-05,78,33.0,,0.33,25.740000000000002
2020-03-06,96,33.0,,0.33,31.68
2020-03-07,48,33.0,,0.33,15.84
2020-03-08,25,33.0,,0.33,8.25
2020-03-09,58,33.0,,0.33,19.14
2020-03-10,89,33.0,,0.33,29.37
2020-03-11,92,33.0,,0.33,30.360000000000003
2020-03-12,51,33.0,,0.33,16.830000000000002
2020-03-13,58,33.0,,0.33,19.14
2020-03-14,37,33.0,,0.33,12.21
2020-03-15,39,33.0,,0.33,12.870000000000001
2020-03-16,30,33.0,,0.33,9.9
2020-03-17,55,33.0,,0.33,18.150000000000002
2020-03-18,46,33.0,,0.33,15.180000000000001
2020-03-19,37,33.0,,0.33,12.21
2020-03-20,36,33.0,,0.33,11.88
2020-03-21,38,33.0,,0.33,12.540000000000001
2020-03-22,28,33.0,,0.33,9.24
2020-03-23,50,33.0,,0.33,16.5
2020-03-24,82,33.0,,0.33,27.060000000000002
2020-03-25,64,33.0,,0.33,21.12
2020-03-26,74,33.0,,0.33,24.42
2020-03-27,49,33.0,,0.33,16.17
2020-03-28,40,33.0,,0.33,13.200000000000001
2020-03-29,54,33.0,,0.33,17.82
2020-03-30,72,33.0,,0.33,23.76
2020-03-31,66,33.0,,0.33,21.78
2020-04-01,70,35.0,False,0.35,24.5
2020-04-02,100,35.0,,0.35,35.0
2020-04-03,82,35.0,,0.35,28.7
2020-04-04,43,35.0,,0.35,15.049999999999999
2020-04-05,61,35.0,,0.35,21.349999999999998
2020-04-06,83,35.0,,0.35,29.049999999999997
2020-04-07,83,35.0,,0.35,29.049999999999997
2020-04-08,100,35.0,,0.35,35.0
2020-04-09,70,35.0,,0.35,24.5
2020-04-10,69,35.0,,0.35,24.15
2020-04-11,59,35.0,,0.35,20.65
2020-04-12,40,35.0,,0.35,14.0
2020-04-13,84,35.0,,0.35,29.4
2020-04-14,91,35.0,,0.35,31.849999999999998
2020-04-15,61,35.0,,0.35,21.349999999999998
2020-04-16,63,35.0,,0.35,22.049999999999997
2020-04-17,80,35.0,,0.35,28.0
2020-04-18,38,35.0,,0.35,13.299999999999999
2020-04-19,47,35.0,,0.35,16.45
2020-04-20,72,35.0,,0.35,25.2
2020-04-21,77,35.0,,0.35,26.95
2020-04-22,91,35.0,,0.35,31.849999999999998
2020-04-23,98,35.0,,0.35,34.3
2020-04-24,80,35.0,,0.35,28.0
2020-04-25,55,35.0,,0.35,19.25
2020-04-26,45,35.0,,0.35,15.749999999999998
2020-04-27,95,35.0,,0.35,33.25
2020-04-28,99,35.0,,0.35,34.65
2020-04-29,71,35.0,,0.35,24.849999999999998
2020-04-30,83,35.0,,0.35,29.049999999999997
2020-05-01,87,28.0,False,0.28,24.360000000000003
2020-05-02,30,28.0,,0.28,8.4
2020-05-03,62,28.0,,0.28,17.360000000000003
2020-05-04,88,28.0,,0.28,24.64
2020-05-05,49,28.0,,0.28,13.72
2020-05-06,80,28.0,,0.28,22.400000000000002
2020-05-07,75,28.0,,0.28,21.000000000000004
2020-05-08,60,28.0,,0.28,16.8
2020-05-09,33,28.0,,0.28,9.24
2020-05-10,27,28.0,,0.28,7.5600000000000005
2020-05-11,61,28.0,,0.28,17.080000000000002
2020-05-12,100,28.0,,0.28,28.000000000000004
2020-05-13,47,28.0,,0.28,13.160000000000002
2020-05-14,35,28.0,,0.28,9.8
2020-05-15,50,28.0,,0.28,14.000000000000002
2020-05-16,31,28.0,,0.28,8.680000000000001
2020-05-17,31,28.0,,0.28,8.680000000000001
2020-05-18,23,28.0,,0.28,6.44
2020-05-19,49,28.0,,0.28,13.72
2020-05-20,24,28.0,,0.28,6.720000000000001
2020-05-21,57,28.0,,0.28,15.96
2020-05-22,39,28.0,,0.28,10.920000000000002
2020-05-23,24,28.0,,0.28,6.720000000000001
2020-05-24,32,28.0,,0.28,8.96
2020-05-25,40,28.0,,0.28,11.200000000000001
2020-05-26,56,28.0,,0.28,15.680000000000001
2020-05-27,41,28.0,,0.28,11.48
2020-05-28,52,28.0,,0.28,14.560000000000002
2020-05-29,31,28.0,,0.28,8.680000000000001
2020-05-30,31,28.0,,0.28,8.680000000000001
2020-05-31,31,28.0,,0.28,8.680000000000001
2020-06-01,90,22.0,False,0.22,19.8
2020-06-02,95,22.0,,0.22,20.9
2020-06-03,96,22.0,,0.22,21.12
2020-06-04,86,22.0,,0.22,18.92
2020-06-05,81,22.0,,0.22,17.82
2020-06-06,57,22.0,,0.22,12.540000000000001
2020-06-07,54,22.0,,0.22,11.88
2020-06-08,98,22.0,,0.22,21.56
2020-06-09,81,22.0,,0.22,17.82
2020-06-10,98,22.0,,0.22,21.56
2020-06-11,76,22.0,,0.22,16.72
2020-06-12,87,22.0,,0.22,19.14
2020-06-13,60,22.0,,0.22,13.2
2020-06-14,32,22.0,,0.22,7.04
2020-06-15,55,22.0,,0.22,12.1
2020-06-16,71,22.0,,0.22,15.62
2020-06-17,70,22.0,,0.22,15.4
2020-06-18,79,22.0,,0.22,17.38
2020-06-19,89,22.0,,0.22,19.580000000000002
2020-06-20,36,22.0,,0.22,7.92
2020-06-21,66,22.0,,0.22,14.52
2020-06-22,70,22.0,,0.22,15.4
2020-06-23,100,22.0,,0.22,22.0
2020-06-24,78,22.0,,0.22,17.16
2020-06-25,59,22.0,,0.22,12.98
2020-06-26,90,22.0,,0.22,19.8
2020-06-27,56,22.0,,0.22,12.32
2020-06-28,47,22.0,,0.22,10.34
2020-06-29,78,22.0,,0.22,17.16
2020-06-30,82,22.0,,0.22,18.04
2020-07-01,58,20.0,False,0.2,11.600000000000001
2020-07-02,44,20.0,,0.2,8.8
2020-07-03,39,20.0,,0.2,7.800000000000001
2020-07-04,25,20.0,,0.2,5.0
2020-07-05,25,20.0,,0.2,5.0
2020-07-06,69,20.0,,0.2,13.8
2020-07-07,57,20.0,,0.2,11.4
2020-07-08,81,20.0,,0.2,16.2
2020-07-09,55,20.0,,0.2,11.0
2020-07-10,81,20.0,,0.2,16.2
2020-07-11,47,20.0,,0.2,9.4
2020-07-12,36,20.0,,0.2,7.2
2020-07-13,66,20.0,,0.2,13.200000000000001
2020-07-14,73,20.0,,0.2,14.600000000000001
2020-07-15,60,20.0,,0.2,12.0
2020-07-16,100,20.0,,0.2,20.0
2020-07-17,43,20.0,,0.2,8.6
2020-07-18,65,20.0,,0.2,13.0
2020-07-19,56,20.0,,0.2,11.200000000000001
2020-07-20,70,20.0,,0.2,14.0
2020-07-21,72,20.0,,0.2,14.4
2020-07-22,67,20.0,,0.2,13.4
2020-07-23,72,20.0,,0.2,14.4
2020-07-24,51,20.0,,0.2,10.200000000000001
2020-07-25,39,20.0,,0.2,7.800000000000001
2020-07-26,33,20.0,,0.2,6.6000000000000005
2020-07-27,64,20.0,,0.2,12.8
2020-07-28,72,20.0,,0.2,14.4
2020-07-29,40,20.0,,0.2,8.0
2020-07-30,37,20.0,,0.2,7.4
2020-07-31,58,20.0,,0.2,11.600000000000001
2020-08-01,31,21.0,False,0.21,6.51
2020-08-02,31,21.0,,0.21,6.51
2020-08-03,52,21.0,,0.21,10.92
2020-08-04,45,21.0,,0.21,9.45
2020-08-05,37,21.0,,0.21,7.77
2020-08-06,61,21.0,,0.21,12.809999999999999
2020-08-07,49,21.0,,0.21,10.29
2020-08-08,26,21.0,,0.21,5.46
2020-08-09,31,21.0,,0.21,6.51
2020-08-10,29,21.0,,0.21,6.09
2020-08-11,34,21.0,,0.21,7.14
2020-08-12,38,21.0,,0.21,7.9799999999999995
2020-08-13,45,21.0,,0.21,9.45
2020-08-14,53,21.0,,0.21,11.129999999999999
2020-08-15,44,21.0,,0.21,9.24
2020-08-16,28,21.0,,0.21,5.88
2020-08-17,40,21.0,,0.21,8.4
2020-08-18,36,21.0,,0.21,7.56
2020-08-19,53,21.0,,0.21,11.129999999999999
2020-08-20,57,21.0,,0.21,11.969999999999999
2020-08-21,52,21.0,,0.21,10.92
2020-08-22,26,21.0,,0.21,5.46
2020-08-23,46,21.0,,0.21,9.66
2020-08-24,70,21.0,,0.21,14.7
2020-08-25,70,21.0,,0.21,14.7
2020-08-26,86,21.0,,0.21,18.06
2020-08-27,100,21.0,,0.21,21.0
2020-08-28,62,21.0,,0.21,13.02
2020-08-29,39,21.0,,0.21,8.19
2020-08-30,67,21.0,,0.21,14.07
2020-08-31,86,21.0,,0.21,18.06
2020-09-01,34,43.0,False,0.43,14.62
2020-09-02,37,43.0,,0.43,15.91
2020-09-03,39,43.0,,0.43,16.77
2020-09-04,60,43.0,,0.43,25.8
2020-09-05,32,43.0,,0.43,13.76
2020-09-06,36,43.0,,0.43,15.48
2020-09-07,23,43.0,,0.43,9.89
2020-09-08,58,43.0,,0.43,24.94
2020-09-09,70,43.0,,0.43,30.099999999999998
2020-09-10,77,43.0,,0.43,33.11
2020-09-11,67,43.0,,0.43,28.81
2020-09-12,48,43.0,,0.43,20.64
2020-09-13,31,43.0,,0.43,13.33
2020-09-14,91,43.0,,0.43,39.13
2020-09-15,83,43.0,,0.43,35.69
2020-09-16,82,43.0,,0.43,35.26
2020-09-17,65,43.0,,0.43,27.95
2020-09-18,56,43.0,,0.43,24.08
2020-09-19,35,43.0,,0.43,15.049999999999999
2020-09-20,40,43.0,,0.43,17.2
2020-09-21,96,43.0,,0.43,41.28
2020-09-22,58,43.0,,0.43,24.94
2020-09-23,60,43.0,,0.43,25.8
2020-09-24,80,43.0,,0.43,34.4
2020-09-25,47,43.0,,0.43,20.21
2020-09-26,34,43.0,,0.43,14.62
2020-09-27,22,43.0,,0.43,9.459999999999999
2020-09-28,77,43.0,,0.43,33.11
2020-09-29,54,43.0,,0.43,23.22
2020-09-30,100,43.0,,0.43,43.0
2020-10-01,99,46.0,False,0.46,45.54
2020-10-02,94,46.0,,0.46,43.24
2020-10-03,55,46.0,,0.46,25.3
2020-10-04,38,46.0,,0.46,17.48
2020-10-05,89,46.0,,0.46,40.940000000000005
2020-10-06,89,46.0,,0.46,40.940000000000005
2020-10-07,100,46.0,,0.46,46.0
2020-10-08,85,46.0,,0.46,39.1
2020-10-09,53,46.0,,0.46,24.380000000000003
2020-10-10,41,46.0,,0.46,18.86
2020-10-11,51,46.0,,0.46,23.46
2020-10-12,77,46.0,,0.46,35.42
2020-10-13,81,46.0,,0.46,37.260000000000005
2020-10-14,49,46.0,,0.46,22.540000000000003
2020-10-15,88,46.0,,0.46,40.480000000000004
2020-10-16,68,46.0,,0.46,31.28
2020-10-17,28,46.0,,0.46,12.88
2020-10-18,38,46.0,,0.46,17.48
2020-10-19,73,46.0,,0.46,33.58
2020-10-20,65,46.0,,0.46,29.900000000000002
2020-10-21,67,46.0,,0.46,30.82
2020-10-22,74,46.0,,0.46,34.04
2020-10-23,89,46.0,,0.46,40.940000000000005
2020-10-24,28,46.0,,0.46,12.88
2020-10-25,34,46.0,,0.46,15.64
2020-10-26,76,46.0,,0.46,34.96
2020-10-27,95,46.0,,0.46,43.7
