date,earnings_unscaled,earnings_monthly,isPartial,scale,earnings
2010-05-15,26,28.0,,0.28,7.280000000000001
2010-05-16,44,28.0,,0.28,12.32
2010-05-17,69,28.0,,0.28,19.32
2010-05-18,60,28.0,,0.28,16.8
2010-05-19,52,28.0,,0.28,14.560000000000002
2010-05-20,68,28.0,,0.28,19.040000000000003
2010-05-21,49,28.0,,0.28,13.72
2010-05-22,52,28.0,,0.28,14.560000000000002
2010-05-23,49,28.0,,0.28,13.72
2010-05-24,56,28.0,,0.28,15.680000000000001
2010-05-25,33,28.0,,0.28,9.24
2010-05-26,37,28.0,,0.28,10.360000000000001
2010-05-27,37,28.0,,0.28,10.360000000000001
2010-05-28,28,28.0,,0.28,7.840000000000001
2010-05-29,41,28.0,,0.28,11.48
2010-05-30,29,28.0,,0.28,8.120000000000001
2010-05-31,41,28.0,,0.28,11.48
2010-06-01,45,22.0,False,0.22,9.9
2010-06-02,46,22.0,,0.22,10.12
2010-06-03,64,22.0,,0.22,14.08
2010-06-04,55,22.0,,0.22,12.1
2010-06-05,23,22.0,,0.22,5.06
2010-06-06,42,22.0,,0.22,9.24
2010-06-07,41,22.0,,0.22,9.02
2010-06-08,40,22.0,,0.22,8.8
2010-06-09,47,22.0,,0.22,10.34
2010-06-10,45,22.0,,0.22,9.9
2010-06-11,31,22.0,,0.22,6.82
2010-06-12,39,22.0,,0.22,8.58
2010-06-13,58,22.0,,0.22,12.76
2010-06-14,49,22.0,,0.22,10.78
2010-06-15,71,22.0,,0.22,15.62
2010-06-16,55,22.0,,0.22,12.1
2010-06-17,51,22.0,,0.22,11.22
2010-06-18,46,22.0,,0.22,10.12
2010-06-19,32,22.0,,0.22,7.04
2010-06-20,41,22.0,,0.22,9.02
2010-06-21,100,22.0,,0.22,22.0
2010-06-22,53,22.0,,0.22,11.66
2010-06-23,54,22.0,,0.22,11.88
2010-06-24,74,22.0,,0.22,16.28
2010-06-25,51,22.0,,0.22,11.22
2010-06-26,46,22.0,,0.22,10.12
2010-06-27,49,22.0,,0.22,10.78
2010-06-28,64,22.0,,0.22,14.08
2010-06-29,55,22.0,,0.22,12.1
2010-06-30,54,22.0,,0.22,11.88
2010-07-01,41,40.0,False,0.4,16.400000000000002
2010-07-02,27,40.0,,0.4,10.8
2010-07-03,24,40.0,,0.4,9.600000000000001
2010-07-04,31,40.0,,0.4,12.4
2010-07-05,35,40.0,,0.4,14.0
2010-07-06,41,40.0,,0.4,16.400000000000002
2010-07-07,53,40.0,,0.4,21.200000000000003
2010-07-08,27,40.0,,0.4,10.8
2010-07-09,34,40.0,,0.4,13.600000000000001
2010-07-10,42,40.0,,0.4,16.8
2010-07-11,25,40.0,,0.4,10.0
2010-07-12,71,40.0,,0.4,28.400000000000002
2010-07-13,74,40.0,,0.4,29.6
2010-07-14,76,40.0,,0.4,30.400000000000002
2010-07-15,56,40.0,,0.4,22.400000000000002
2010-07-16,34,40.0,,0.4,13.600000000000001
2010-07-17,43,40.0,,0.4,17.2
2010-07-18,44,40.0,,0.4,17.6
2010-07-19,100,40.0,,0.4,40.0
2010-07-20,100,40.0,,0.4,40.0
2010-07-21,86,40.0,,0.4,34.4
2010-07-22,99,40.0,,0.4,39.6
2010-07-23,79,40.0,,0.4,31.6
2010-07-24,30,40.0,,0.4,12.0
2010-07-25,36,40.0,,0.4,14.4
2010-07-26,51,40.0,,0.4,20.400000000000002
2010-07-27,83,40.0,,0.4,33.2
2010-07-28,69,40.0,,0.4,27.6
2010-07-29,56,40.0,,0.4,22.400000000000002
2010-07-30,64,40.0,,0.4,25.6
2010-07-31,15,40.0,,0.4,6.0
2010-08-01,18,24.0,False,0.24,4.32
2010-08-02,69,24.0,,0.24,16.56
2010-08-03,100,24.0,,0.24,24.0
2010-08-04,60,24.0,,0.24,14.399999999999999
2010-08-05,73,24.0,,0.24,17.52
2010-08-06,54,24.0,,0.24,12.959999999999999
2010-08-07,54,24.0,,0.24,12.959999999999999
2010-08-08,43,24.0,,0.24,10.32
2010-08-09,69,24.0,,0.24,16.56
2010-08-10,63,24.0,,0.24,15.12
2010-08-11,55,24.0,,0.24,13.2
2010-08-12,62,24.0,,0.24,14.879999999999999
2010-08-13,51,24.0,,0.24,12.24
2010-08-14,32,24.0,,0.24,7.68
2010-08-15,14,24.0,,0.24,3.36
2010-08-16,48,24.0,,0.24,11.52
2010-08-17,43,24.0,,0.24,10.32
2010-08-18,87,24.0,,0.24,20.88
2010-08-19,61,24.0,,0.24,14.639999999999999
2010-08-20,59,24.0,,0.24,14.16
2010-08-21,24,24.0,,0.24,5.76
2010-08-22,51,24.0,,0.24,12.24
2010-08-23,54,24.0,,0.24,12.959999999999999
2010-08-24,38,24.0,,0.24,9.12
2010-08-25,42,24.0,,0.24,10.08
2010-08-26,43,24.0,,0.24,10.32
2010-08-27,42,24.0,,0.24,10.08
2010-08-28,31,24.0,,0.24,7.4399999999999995
2010-08-29,31,24.0,,0.24,7.4399999999999995
2010-08-30,48,24.0,,0.24,11.52
2010-08-31,33,24.0,,0.24,7.92
2010-09-01,59,26.0,False,0.26,15.34
2010-09-02,61,26.0,,0.26,15.860000000000001
2010-09-03,64,26.0,,0.26,16.64
2010-09-04,42,26.0,,0.26,10.92
2010-09-05,37,26.0,,0.26,9.620000000000001
2010-09-06,29,26.0,,0.26,7.54
2010-09-07,63,26.0,,0.26,16.38
2010-09-08,73,26.0,,0.26,18.98
2010-09-09,72,26.0,,0.26,18.72
2010-09-10,76,26.0,,0.26,19.76
2010-09-11,34,26.0,,0.26,8.84
2010-09-12,50,26.0,,0.26,13.0
2010-09-13,100,26.0,,0.26,26.0
2010-09-14,61,26.0,,0.26,15.860000000000001
2010-09-15,59,26.0,,0.26,15.34
2010-09-16,71,26.0,,0.26,18.46
2010-09-17,70,26.0,,0.26,18.2
2010-09-18,47,26.0,,0.26,12.22
2010-09-19,67,26.0,,0.26,17.42
2010-09-20,93,26.0,,0.26,24.18
2010-09-21,69,26.0,,0.26,17.94
2010-09-22,72,26.0,,0.26,18.72
2010-09-23,67,26.0,,0.26,17.42
2010-09-24,71,26.0,,0.26,18.46
2010-09-25,40,26.0,,0.26,10.4
2010-09-26,43,26.0,,0.26,11.18
2010-09-27,73,26.0,,0.26,18.98
2010-09-28,70,26.0,,0.26,18.2
2010-09-29,57,26.0,,0.26,14.82
2010-09-30,72,26.0,,0.26,18.72
2010-10-01,30,37.0,False,0.37,11.1
2010-10-02,23,37.0,,0.37,8.51
2010-10-03,19,37.0,,0.37,7.03
2010-10-04,29,37.0,,0.37,10.73
2010-10-05,38,37.0,,0.37,14.06
2010-10-06,41,37.0,,0.37,15.17
2010-10-07,39,37.0,,0.37,14.43
2010-10-08,31,37.0,,0.37,11.47
