date,quarantine_unscaled,quarantine_monthly,isPartial,scale,quarantine
2010-05-21,31,1.0,,0.01,0.31
2010-05-22,56,1.0,,0.01,0.56
2010-05-23,33,1.0,,0.01,0.33
2010-05-24,58,1.0,,0.01,0.58
2010-05-25,29,1.0,,0.01,0.29
2010-05-26,22,1.0,,0.01,0.22
2010-05-27,7,1.0,,0.01,0.07
2010-05-28,49,1.0,,0.01,0.49
2010-05-29,35,1.0,,0.01,0.35000000000000003
2010-05-30,100,1.0,,0.01,1.0
2010-05-31,21,1.0,,0.01,0.21
2010-06-01,71,1.0,False,0.01,0.71
2010-06-02,59,1.0,,0.01,0.59
2010-06-03,49,1.0,,0.01,0.49
2010-06-04,76,1.0,,0.01,0.76
2010-06-05,18,1.0,,0.01,0.18
2010-06-06,72,1.0,,0.01,0.72
2010-06-07,0,1.0,,0.01,0.0
2010-06-08,71,1.0,,0.01,0.71
2010-06-09,36,1.0,,0.01,0.36
2010-06-10,37,1.0,,0.01,0.37
2010-06-11,79,1.0,,0.01,0.79
2010-06-12,19,1.0,,0.01,0.19
2010-06-13,93,1.0,,0.01,0.93
2010-06-14,24,1.0,,0.01,0.24
2010-06-15,49,1.0,,0.01,0.49
2010-06-16,61,1.0,,0.01,0.61
2010-06-17,100,1.0,,0.01,1.0
2010-06-18,40,1.0,,0.01,0.4
2010-06-19,94,1.0,,0.01,0.9400000000000001
2010-06-20,79,1.0,,0.01,0.79
2010-06-21,88,1.0,,0.01,0.88
2010-06-22,59,1.0,,0.01,0.59
2010-06-23,0,1.0,,0.01,0.0
2010-06-24,25,1.0,,0.01,0.25
2010-06-25,40,1.0,,0.01,0.4
2010-06-26,37,1.0,,0.01,0.37
2010-06-27,19,1.0,,0.01,0.19
2010-06-28,12,1.0,,0.01,0.12
2010-06-29,36,1.0,,0.01,0.36
2010-06-30,12,1.0,,0.01,0.12
2010-07-01,100,1.0,False,0.01,1.0
2010-07-02,45,1.0,,0.01,0.45
2010-07-03,56,1.0,,0.01,0.56
2010-07-04,45,1.0,,0.01,0.45
2010-07-05,26,1.0,,0.01,0.26
2010-07-06,38,1.0,,0.01,0.38
2010-07-07,46,1.0,,0.01,0.46
2010-07-08,19,1.0,,0.01,0.19
2010-07-09,10,1.0,,0.01,0.1
2010-07-10,39,1.0,,0.01,0.39
2010-07-11,27,1.0,,0.01,0.27
2010-07-12,38,1.0,,0.01,0.38
2010-07-13,28,1.0,,0.01,0.28
2010-07-14,28,1.0,,0.01,0.28
2010-07-15,76,1.0,,0.01,0.76
2010-07-16,20,1.0,,0.01,0.2
2010-07-17,27,1.0,,0.01,0.27
2010-07-18,53,1.0,,0.01,0.53
2010-07-19,75,1.0,,0.01,0.75
2010-07-20,9,1.0,,0.01,0.09
2010-07-21,28,1.0,,0.01,0.28
2010-07-22,47,1.0,,0.01,0.47000000000000003
2010-07-23,59,1.0,,0.01,0.59
2010-07-24,64,1.0,,0.01,0.64
2010-07-25,13,1.0,,0.01,0.13
2010-07-26,19,1.0,,0.01,0.19
2010-07-27,9,1.0,,0.01,0.09
2010-07-28,18,1.0,,0.01,0.18
2010-07-29,56,1.0,,0.01,0.56
2010-07-30,10,1.0,,0.01,0.1
2010-07-31,39,1.0,,0.01,0.39
2010-08-01,98,1.0,False,0.01,0.98
2010-08-02,85,1.0,,0.01,0.85
2010-08-03,100,1.0,,0.01,1.0
2010-08-04,86,1.0,,0.01,0.86
2010-08-05,87,1.0,,0.01,0.87
2010-08-06,73,1.0,,0.01,0.73
2010-08-07,24,1.0,,0.01,0.24
2010-08-08,73,1.0,,0.01,0.73
2010-08-09,51,1.0,,0.01,0.51
2010-08-10,33,1.0,,0.01,0.33
2010-08-11,34,1.0,,0.01,0.34
2010-08-12,0,1.0,,0.01,0.0
2010-08-13,72,1.0,,0.01,0.72
2010-08-14,70,1.0,,0.01,0.7000000000000001
2010-08-15,48,1.0,,0.01,0.48
2010-08-16,51,1.0,,0.01,0.51
2010-08-17,34,1.0,,0.01,0.34
2010-08-18,50,1.0,,0.01,0.5
2010-08-19,17,1.0,,0.01,0.17
2010-08-20,54,1.0,,0.01,0.54
2010-08-21,0,1.0,,0.01,0.0
2010-08-22,46,1.0,,0.01,0.46
2010-08-23,83,1.0,,0.01,0.8300000000000001
2010-08-24,32,1.0,,0.01,0.32
2010-08-25,17,1.0,,0.01,0.17
2010-08-26,17,1.0,,0.01,0.17
2010-08-27,18,1.0,,0.01,0.18
2010-08-28,46,1.0,,0.01,0.46
2010-08-29,23,1.0,,0.01,0.23
2010-08-30,33,1.0,,0.01,0.33
2010-08-31,32,1.0,,0.01,0.32
2010-09-01,29,1.0,False,0.01,0.29
2010-09-02,58,1.0,,0.01,0.58
2010-09-03,41,1.0,,0.01,0.41000000000000003
2010-09-04,14,1.0,,0.01,0.14
2010-09-05,100,1.0,,0.01,1.0
2010-09-06,62,1.0,,0.01,0.62
2010-09-07,38,1.0,,0.01,0.38
2010-09-08,37,1.0,,0.01,0.37
2010-09-09,47,1.0,,0.01,0.47000000000000003
2010-09-10,50,1.0,,0.01,0.5
2010-09-11,64,1.0,,0.01,0.64
2010-09-12,26,1.0,,0.01,0.26
2010-09-13,56,1.0,,0.01,0.56
2010-09-14,19,1.0,,0.01,0.19
2010-09-15,38,1.0,,0.01,0.38
2010-09-16,78,1.0,,0.01,0.78
2010-09-17,70,1.0,,0.01,0.7000000000000001
2010-09-18,40,1.0,,0.01,0.4
2010-09-19,26,1.0,,0.01,0.26
2010-09-20,48,1.0,,0.01,0.48
2010-09-21,38,1.0,,0.01,0.38
2010-09-22,56,1.0,,0.01,0.56
2010-09-23,65,1.0,,0.01,0.65
2010-09-24,50,1.0,,0.01,0.5
2010-09-25,52,1.0,,0.01,0.52
2010-09-26,26,1.0,,0.01,0.26
2010-09-27,18,1.0,,0.01,0.18
2010-09-28,64,1.0,,0.01,0.64
2010-09-29,18,1.0,,0.01,0.18
2010-09-30,19,1.0,,0.01,0.19
2010-10-01,87,1.0,False,0.01,0.87
2010-10-02,52,1.0,,0.01,0.52
2010-10-03,51,1.0,,0.01,0.51
2010-10-04,18,1.0,,0.01,0.18
2010-10-05,36,1.0,,0.01,0.36
2010-10-06,28,1.0,,0.01,0.28
2010-10-07,30,1.0,,0.01,0.3
2010-10-08,20,1.0,,0.01,0.2
2010-10-09,0,1.0,,0.01,0.0
2010-10-10,13,1.0,,0.01,0.13
2010-10-11,29,1.0,,0.01,0.29
2010-10-12,19,1.0,,0.01,0.19
2010-10-13,65,1.0,,0.01,0.65
2010-10-14,18,1.0,,0.01,0.18
2010-10-15,39,1.0,,0.01,0.39
2010-10-16,26,1.0,,0.01,0.26
2010-10-17,51,1.0,,0.01,0.51
2010-10-18,45,1.0,,0.01,0.45
2010-10-19,35,1.0,,0.01,0.35000000000000003
2010-10-20,27,1.0,,0.01,0.27
2010-10-21,28,1.0,,0.01,0.28
2010-10-22,10,1.0,,0.01,0.1
2010-10-23,38,1.0,,0.01,0.38
2010-10-24,100,1.0,,0.01,1.0
2010-10-25,45,1.0,,0.01,0.45
2010-10-26,44,1.0,,0.01,0.44
2010-10-27,44,1.0,,0.01,0.44
2010-10-28,74,1.0,,0.01,0.74
2010-10-29,49,1.0,,0.01,0.49
2010-10-30,51,1.0,,0.01,0.51
2010-10-31,52,1.0,,0.01,0.52
2010-11-01,61,1.0,False,0.01,0.61
2010-11-02,71,1.0,,0.01,0.71
2010-11-03,55,1.0,,0.01,0.55
2010-11-04,29,1.0,,0.01,0.29
2010-11-05,46,1.0,,0.01,0.46
2010-11-06,0,1.0,,0.01,0.0
2010-11-07,40,1.0,,0.01,0.4
2010-11-08,72,1.0,,0.01,0.72
2010-11-09,86,1.0,,0.01,0.86
2010-11-10,74,1.0,,0.01,0.74
2010-11-11,61,1.0,,0.01,0.61
2010-11-12,62,1.0,,0.01,0.62
2010-11-13,61,1.0,,0.01,0.61
2010-11-14,20,1.0,,0.01,0.2
2010-11-15,73,1.0,,0.01,0.73
2010-11-16,84,1.0,,0.01,0.84
2010-11-17,71,1.0,,0.01,0.71
2010-11-18,29,1.0,,0.01,0.29
2010-11-19,31,1.0,,0.01,0.31
2010-11-20,39,1.0,,0.01,0.39
2010-11-21,0,1.0,,0.01,0.0
2010-11-22,29,1.0,,0.01,0.29
2010-11-23,58,1.0,,0.01,0.58
2010-11-24,31,1.0,,0.01,0.31
2010-11-25,61,1.0,,0.01,0.61
2010-11-26,39,1.0,,0.01,0.39
2010-11-27,81,1.0,,0.01,0.81
2010-11-28,100,1.0,,0.01,1.0
2010-11-29,42,1.0,,0.01,0.42
2010-11-30,41,1.0,,0.01,0.41000000000000003
2010-12-01,58,1.0,False,0.01,0.58
2010-12-02,12,1.0,,0.01,0.12
2010-12-03,100,1.0,,0.01,1.0
2010-12-04,65,1.0,,0.01,0.65
2010-12-05,16,1.0,,0.01,0.16
2010-12-06,95,1.0,,0.01,0.9500000000000001
2010-12-07,82,1.0,,0.01,0.8200000000000001
2010-12-08,96,1.0,,0.01,0.96
2010-12-09,60,1.0,,0.01,0.6
2010-12-10,75,1.0,,0.01,0.75
2010-12-11,81,1.0,,0.01,0.81
2010-12-12,49,1.0,,0.01,0.49
2010-12-13,48,1.0,,0.01,0.48
2010-12-14,58,1.0,,0.01,0.58
2010-12-15,61,1.0,,0.01,0.61
2010-12-16,62,1.0,,0.01,0.62
2010-12-17,39,1.0,,0.01,0.39
2010-12-18,34,1.0,,0.01,0.34
2010-12-19,88,1.0,,0.01,0.88
2010-12-20,39,1.0,,0.01,0.39
2010-12-21,90,1.0,,0.01,0.9
2010-12-22,54,1.0,,0.01,0.54
2010-12-23,44,1.0,,0.01,0.44
2010-12-24,36,1.0,,0.01,0.36
2010-12-25,22,1.0,,0.01,0.22
2010-12-26,38,1.0,,0.01,0.38
2010-12-27,0,1.0,,0.01,0.0
2010-12-28,69,1.0,,0.01,0.6900000000000001
2010-12-29,83,1.0,,0.01,0.8300000000000001
2010-12-30,14,1.0,,0.01,0.14
2010-12-31,81,1.0,,0.01,0.81
2011-01-01,63,1.0,False,0.01,0.63
2011-01-02,39,1.0,,0.01,0.39
2011-01-03,59,1.0,,0.01,0.59
2011-01-04,68,1.0,,0.01,0.68
2011-01-05,38,1.0,,0.01,0.38
2011-01-06,49,1.0,,0.01,0.49
2011-01-07,79,1.0,,0.01,0.79
2011-01-08,49,1.0,,0.01,0.49
2011-01-09,37,1.0,,0.01,0.37
2011-01-10,38,1.0,,0.01,0.38
2011-01-11,47,1.0,,0.01,0.47000000000000003
2011-01-12,56,1.0,,0.01,0.56
2011-01-13,38,1.0,,0.01,0.38
2011-01-14,86,1.0,,0.01,0.86
2011-01-15,49,1.0,,0.01,0.49
2011-01-16,100,1.0,,0.01,1.0
2011-01-17,30,1.0,,0.01,0.3
2011-01-18,46,1.0,,0.01,0.46
2011-01-19,56,1.0,,0.01,0.56
2011-01-20,47,1.0,,0.01,0.47000000000000003
2011-01-21,29,1.0,,0.01,0.29
2011-01-22,24,1.0,,0.01,0.24
2011-01-23,84,1.0,,0.01,0.84
2011-01-24,47,1.0,,0.01,0.47000000000000003
2011-01-25,27,1.0,,0.01,0.27
2011-01-26,46,1.0,,0.01,0.46
2011-01-27,74,1.0,,0.01,0.74
2011-01-28,39,1.0,,0.01,0.39
2011-01-29,24,1.0,,0.01,0.24
2011-01-30,47,1.0,,0.01,0.47000000000000003
2011-01-31,53,1.0,,0.01,0.53
2011-02-01,58,1.0,False,0.01,0.58
2011-02-02,65,1.0,,0.01,0.65
2011-02-03,38,1.0,,0.01,0.38
2011-02-04,31,1.0,,0.01,0.31
2011-02-05,10,1.0,,0.01,0.1
2011-02-06,49,1.0,,0.01,0.49
2011-02-07,23,1.0,,0.01,0.23
2011-02-08,45,1.0,,0.01,0.45
2011-02-09,23,1.0,,0.01,0.23
2011-02-10,23,1.0,,0.01,0.23
2011-02-11,33,1.0,,0.01,0.33
2011-02-12,60,1.0,,0.01,0.6
2011-02-13,31,1.0,,0.01,0.31
2011-02-14,100,1.0,,0.01,1.0
2011-02-15,39,1.0,,0.01,0.39
2011-02-16,38,1.0,,0.01,0.38
2011-02-17,23,1.0,,0.01,0.23
2011-02-18,49,1.0,,0.01,0.49
2011-02-19,40,1.0,,0.01,0.4
2011-02-20,51,1.0,,0.01,0.51
2011-02-21,57,1.0,,0.01,0.5700000000000001
2011-02-22,15,1.0,,0.01,0.15
2011-02-23,93,1.0,,0.01,0.93
2011-02-24,61,1.0,,0.01,0.61
2011-02-25,16,1.0,,0.01,0.16
2011-02-26,20,1.0,,0.01,0.2
2011-02-27,10,1.0,,0.01,0.1
2011-02-28,38,1.0,,0.01,0.38
2011-03-01,60,1.0,False,0.01,0.6
2011-03-02,69,1.0,,0.01,0.6900000000000001
2011-03-03,44,1.0,,0.01,0.44
2011-03-04,45,1.0,,0.01,0.45
2011-03-05,57,1.0,,0.01,0.5700000000000001
2011-03-06,78,1.0,,0.01,0.78
